jour;cl_age90;P;T;pop;incidence;positivite;incidence hebdo
2020-05-13;0;889;39317;67114995.0;1.3245922166871948;2.261108426380446;1.3245922166871948
2020-05-13;9;13;1276;7763205.686272893;0.16745659622270406;1.018808777429467;0.16745659622270406
2020-05-13;19;28;1675;8336486.160537239;0.3358729260841904;1.671641791044776;0.3358729260841904
2020-05-13;29;103;4622;7476787.1878041085;1.3775970535581143;2.2284725227174382;1.3775970535581143
2020-05-13;39;106;5677;8295371.931939545;1.2778209448556466;1.8671833714990311;1.2778209448556466
2020-05-13;49;103;5823;8592886.15993014;1.1986659439328287;1.7688476730207796;1.1986659439328287
2020-05-13;59;115;5919;8792674.76801071;1.3079069001663763;1.9428957594188205;1.3079069001663763
2020-05-13;69;92;4403;8004082.760304243;1.149413402573351;2.089484442425619;1.149413402573351
2020-05-13;79;87;3411;5695639.130797295;1.527484413989224;2.550571679859279;1.527484413989224
2020-05-13;89;121;3728;3245280.6081309738;3.728491141777921;3.2457081545064375;3.728491141777921
2020-05-13;90;113;2514;912580.6062728532;12.38246783059666;4.494828957836118;12.38246783059666
2020-05-14;0;999;42664;67114995.0;1.4884900162772865;2.3415525970373148;2.813082232964481
2020-05-14;9;18;1502;7763205.686272893;0.23186297938528255;1.1984021304926764;0.3993195756079866
2020-05-14;19;42;1903;8336486.160537239;0.5038093891262856;2.207041513399895;0.839682315210476
2020-05-14;29;115;5198;7476787.1878041085;1.5380937976619724;2.2123893805309733;2.915690851220087
2020-05-14;39;113;6142;8295371.931939545;1.3622053468744155;1.8397915988277433;2.640026291730062
2020-05-14;49;121;6080;8592886.15993014;1.4081415457851676;1.9901315789473684;2.6068074897179963
2020-05-14;59;127;6311;8792674.76801071;1.4443841419228678;2.0123593725241644;2.752291042089244
2020-05-14;69;85;4689;8004082.760304243;1.0619580349862483;1.8127532522925995;2.211371437559599
2020-05-14;79;81;3843;5695639.130797295;1.4221406613003122;2.107728337236534;2.9496250752895365
2020-05-14;89;160;3822;3245280.6081309738;4.930236220532788;4.1862899005756145;8.65872736231071
2020-05-14;90;117;2496;912580.6062728532;12.820785275927514;4.6875;25.203253106524173
2020-05-15;0;1028;47918;67114995.0;1.5316994361692196;2.1453316081639464;4.344781669133701
2020-05-15;9;16;2079;7763205.686272893;0.20610042612025115;0.7696007696007696;0.6054200017282377
2020-05-15;19;41;2352;8336486.160537239;0.4918139274804216;1.7431972789115644;1.3314962426908976
2020-05-15;29;132;5927;7476787.1878041085;1.765464185142438;2.2270963387885945;4.681155036362525
2020-05-15;39;132;6711;8295371.931939545;1.5912487237825033;1.9669199821189094;4.231275015512566
2020-05-15;49;113;6768;8592886.15993014;1.3150412782952392;1.6696217494089833;3.9218487680132355
2020-05-15;59;124;6862;8792674.76801071;1.410264831483745;1.8070533372194695;4.162555873572989
2020-05-15;69;88;5464;8004082.760304243;1.0994389068092925;1.610541727672035;3.3108103443688917
2020-05-15;79;101;4534;5695639.130797295;1.7732865035966854;2.227613586237318;4.722911578886222
2020-05-15;89;160;4304;3245280.6081309738;4.930236220532788;3.717472118959108;13.588963582843498
2020-05-15;90;114;2685;912580.6062728532;12.492047191929373;4.245810055865921;37.695300298453546
2020-05-16;0;291;16540;67114995.0;0.43358417891560597;1.7593712212817414;4.778365848049306
2020-05-16;9;10;894;7763205.686272893;0.12881276632515698;1.1185682326621924;0.7342327680533947
2020-05-16;19;13;809;8336486.160537239;0.15594100139623124;1.6069221260815822;1.4874372440871289
2020-05-16;29;37;1910;7476787.1878041085;0.4948649609868954;1.93717277486911;5.17601999734942
2020-05-16;39;26;2290;8295371.931939545;0.3134277789268567;1.1353711790393013;4.544702794439422
2020-05-16;49;38;2219;8592886.15993014;0.4422262705771601;1.7124831004957188;4.3640750385903955
2020-05-16;59;32;2349;8792674.76801071;0.36393931135064383;1.362281822051937;4.5264951849236335
2020-05-16;69;22;1914;8004082.760304243;0.2748597267023231;1.1494252873563218;3.5856700710712146
2020-05-16;79;28;1679;5695639.130797295;0.49160417921492267;1.6676593210244193;5.214515758101145
2020-05-16;89;48;1605;3245280.6081309738;1.4790708661598364;2.990654205607477;15.068034449003335
2020-05-16;90;37;866;912580.6062728532;4.054436369310411;4.272517321016166;41.749736667763955
2020-05-17;0;139;6605;67114995.0;0.20710721948202485;2.10446631339894;4.9854730675313315
2020-05-17;9;6;411;7763205.686272893;0.07728765979509418;1.4598540145985401;0.8115204278484889
2020-05-17;19;4;294;8336486.160537239;0.047981846583455764;1.3605442176870748;1.5354190906705847
2020-05-17;29;17;626;7476787.1878041085;0.22737038748046548;2.7156549520766773;5.403390384829885
2020-05-17;39;10;763;8295371.931939545;0.12054914574109873;1.310615989515072;4.665251940180521
2020-05-17;49;14;676;8592886.15993014;0.16292546810737477;2.0710059171597637;4.52700050669777
2020-05-17;59;17;757;8792674.76801071;0.19334275915502955;2.2457067371202113;4.719837944078663
2020-05-17;69;16;790;8004082.760304243;0.19989798305623496;2.0253164556962027;3.7855680541274497
2020-05-17;79;16;857;5695639.130797295;0.2809166738370987;1.8669778296382729;5.4954324319382435
2020-05-17;89;22;942;3245280.6081309738;0.6779074803232583;2.335456475583864;15.745941929326593
2020-05-17;90;17;488;912580.6062728532;1.8628491426561344;3.483606557377049;43.612585810420086
2020-05-18;0;1117;51412;67114995.0;1.6643076558375667;2.172644518789388;6.649780723368898
2020-05-18;9;35;2211;7763205.686272893;0.4508446821380494;1.5829941203075533;1.2623651099865383
2020-05-18;19;50;2500;8336486.160537239;0.599773082293197;2.0;2.135192172963782
2020-05-18;29;126;6208;7476787.1878041085;1.6852158130905088;2.029639175257732;7.088606197920394
2020-05-18;39;107;7274;8295371.931939545;1.2898758594297566;1.4709925762991476;5.955127799610278
2020-05-18;49;118;7148;8592886.15993014;1.3732289454764444;1.650811415780638;5.900229452174214
2020-05-18;59;115;7374;8792674.76801071;1.3079069001663763;1.5595334960672633;6.027744844245039
2020-05-18;69;113;5796;8004082.760304243;1.4117795053346593;1.9496204278812976;5.197347559462109
2020-05-18;79;105;4937;5695639.130797295;1.84351567205596;2.126797650394977;7.338948103994204
