jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
2020-05-13;0-19;41;2951;16099691.846810132;0.254663259335137;1.3893595391392748;0.254663259335137
2020-05-13;20-59;427;22041;33157720.0476845;1.2877845623460429;1.937298670659226;1.2877845623460429
2020-05-13;60+;413;14056;17857583.105505366;2.312742981846603;2.9382470119521913;2.312742981846603
2020-05-13;whole;889;39317;67114995.0;1.3245922166871948;2.261108426380446;1.3245922166871948
2020-05-14;0-19;60;3405;16099691.846810132;0.37267794049044445;1.762114537444934;0.6273411998255815
2020-05-14;20-59;476;23731;33157720.0476845;1.4355631186808349;2.0058151784585565;2.723347681026878
2020-05-14;60+;443;14850;17857583.105505366;2.4807388400921186;2.983164983164983;4.793481821938721
2020-05-14;whole;999;42664;67114995.0;1.4884900162772865;2.3415525970373148;2.813082232964481
2020-05-15;0-19;57;4431;16099691.846810132;0.3540440434659222;1.2863913337846988;0.9813852432915037
2020-05-15;20-59;501;26268;33157720.0476845;1.5109603413006265;1.9072635906806763;4.234308022327505
2020-05-15;60+;463;16987;17857583.105505366;2.5927360789224627;2.725613704597633;7.386217900861184
2020-05-15;whole;1028;47918;67114995.0;1.5316994361692196;2.1453316081639464;4.344781669133701
2020-05-16;0-19;23;1703;16099691.846810132;0.1428598771880037;1.3505578391074575;1.1242451204795074
2020-05-16;20-59;133;8768;33157720.0476845;0.401113224337292;1.5168795620437956;4.635421246664797
2020-05-16;60+;135;6064;17857583.105505366;0.7559813621048218;2.2262532981530345;8.142199262966006
2020-05-16;whole;291;16540;67114995.0;0.43358417891560597;1.7593712212817414;4.778365848049306
2020-05-17;0-19;10;705;16099691.846810132;0.06211299008174073;1.4184397163120568;1.1863581105612482
2020-05-17;20-59;58;2822;33157720.0476845;0.17492155647791682;2.0552799433026223;4.810342803142714
2020-05-17;60+;71;3077;17857583.105505366;0.39759019784772115;2.307442313942152;8.539789460813727
2020-05-17;whole;139;6605;67114995.0;0.20710721948202485;2.10446631339894;4.9854730675313315
2020-05-18;0-19;85;4711;16099691.846810132;0.5279604156947962;1.804287836977287;1.7143185262560445
2020-05-18;20-59;466;28004;33157720.0476845;1.4054042296329181;1.6640479931438368;6.2157470327756315
2020-05-18;60+;565;18670;17857583.105505366;3.1639219969572174;3.026245313336904;11.703711457770945
2020-05-18;whole;1117;51412;67114995.0;1.6643076558375667;2.172644518789388;6.649780723368898
2020-05-19;0-19;63;5016;16099691.846810132;0.3913118375149667;1.255980861244019;2.105630363771011
2020-05-19;20-59;499;29850;33157720.0476845;1.5049285634910432;1.6716917922948074;7.720675596266675
2020-05-19;60+;486;18150;17857583.105505366;2.7215329035773586;2.677685950413223;14.425244361348303
2020-05-19;whole;1050;53039;67114995.0;1.5644789960872378;1.9796753332453478;8.214259719456136
2020-05-20;0-19;86;5501;16099691.846810132;0.5341717147029703;1.5633521177967642;2.3851388191388443
2020-05-20;20-59;549;29476;33157720.0476845;1.6557230087306267;1.8625322296105307;8.088614042651258
2020-05-20;60+;411;18055;17857583.105505366;2.3015432579635684;2.2763777346995293;14.41404463746527
2020-05-20;whole;1047;53060;67114995.0;1.5600090560984174;1.973237843950245;8.44967655886736
2020-05-21;0-19;20;1129;16099691.846810132;0.12422598016348146;1.771479185119575;2.1366868588118813
2020-05-21;20-59;78;4330;33157720.0476845;0.23523933457375024;1.8013856812933025;6.888290258544174
2020-05-21;60+;97;4213;17857583.105505366;0.5431866083271683;2.3023973415618326;12.47649240570032
