reg;jour;cl_age90;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-05-13;0;57;4051;8032377.0
Auvergne-Rhône-Alpes;2020-05-13;9;0;160;940637.0
Auvergne-Rhône-Alpes;2020-05-13;19;3;217;999616.0
Auvergne-Rhône-Alpes;2020-05-13;29;6;478;894918.0
Auvergne-Rhône-Alpes;2020-05-13;39;3;610;1005784.0
Auvergne-Rhône-Alpes;2020-05-13;49;6;576;1035354.0
Auvergne-Rhône-Alpes;2020-05-13;59;9;589;1044459.0
Auvergne-Rhône-Alpes;2020-05-13;69;4;439;926660.0
Auvergne-Rhône-Alpes;2020-05-13;79;8;371;687362.0
Auvergne-Rhône-Alpes;2020-05-13;89;7;379;387722.0
Auvergne-Rhône-Alpes;2020-05-13;90;10;225;109865.0
Auvergne-Rhône-Alpes;2020-05-14;0;103;4808;8032377.0
Auvergne-Rhône-Alpes;2020-05-14;9;1;235;940637.0
Auvergne-Rhône-Alpes;2020-05-14;19;10;255;999616.0
Auvergne-Rhône-Alpes;2020-05-14;29;13;618;894918.0
Auvergne-Rhône-Alpes;2020-05-14;39;10;738;1005784.0
Auvergne-Rhône-Alpes;2020-05-14;49;13;641;1035354.0
Auvergne-Rhône-Alpes;2020-05-14;59;8;720;1044459.0
Auvergne-Rhône-Alpes;2020-05-14;69;8;494;926660.0
Auvergne-Rhône-Alpes;2020-05-14;79;13;406;687362.0
Auvergne-Rhône-Alpes;2020-05-14;89;16;414;387722.0
Auvergne-Rhône-Alpes;2020-05-14;90;11;247;109865.0
Auvergne-Rhône-Alpes;2020-05-15;0;78;4820;8032377.0
Auvergne-Rhône-Alpes;2020-05-15;9;2;288;940637.0
Auvergne-Rhône-Alpes;2020-05-15;19;4;281;999616.0
Auvergne-Rhône-Alpes;2020-05-15;29;11;605;894918.0
Auvergne-Rhône-Alpes;2020-05-15;39;12;641;1005784.0
Auvergne-Rhône-Alpes;2020-05-15;49;6;679;1035354.0
Auvergne-Rhône-Alpes;2020-05-15;59;11;669;1044459.0
Auvergne-Rhône-Alpes;2020-05-15;69;6;523;926660.0
Auvergne-Rhône-Alpes;2020-05-15;79;7;484;687362.0
