reg;jour;three_class;P;T;pop;incidence;positivite;incidence hebdo
Auvergne-Rhône-Alpes;2020-05-13;0-19;3;377;1940253.0;0.15461901102588166;0.7957559681697612;0.15461901102588166
Auvergne-Rhône-Alpes;2020-05-13;20-59;24;2253;3980515.0;0.6029370571395912;1.0652463382157125;0.6029370571395912
Auvergne-Rhône-Alpes;2020-05-13;60+;29;1414;2111609.0;1.3733603143384974;2.050919377652051;1.3733603143384974
Auvergne-Rhône-Alpes;2020-05-13;whole;57;4051;8032377.0;0.7096280465919366;1.4070599851888421;0.7096280465919366
Auvergne-Rhône-Alpes;2020-05-14;0-19;11;490;1940253.0;0.5669363737615661;2.2448979591836733;0.7215553847874479
Auvergne-Rhône-Alpes;2020-05-14;20-59;44;2717;3980515.0;1.1053846047559173;1.6194331983805668;1.7083216618955084
Auvergne-Rhône-Alpes;2020-05-14;60+;48;1561;2111609.0;2.273148106491306;3.074951953875721;3.6465084208298033
Auvergne-Rhône-Alpes;2020-05-14;whole;103;4808;8032377.0;1.282310329806482;2.1422628951747087;1.9919383763984184
Auvergne-Rhône-Alpes;2020-05-15;0-19;6;569;1940253.0;0.3092380220517633;1.054481546572935;1.0307934068392113
Auvergne-Rhône-Alpes;2020-05-15;20-59;40;2594;3980515.0;1.004895095232652;1.5420200462606015;2.7132167571281602
Auvergne-Rhône-Alpes;2020-05-15;60+;32;1651;2111609.0;1.515432070994204;1.9382192610539066;5.161940491824007
Auvergne-Rhône-Alpes;2020-05-15;whole;78;4820;8032377.0;0.9710699584942291;1.6182572614107886;2.9630083348926473
Auvergne-Rhône-Alpes;2020-05-16;0-19;4;235;1940253.0;0.20615868136784224;1.702127659574468;1.2369520882070535
Auvergne-Rhône-Alpes;2020-05-16;20-59;12;1060;3980515.0;0.3014685285697956;1.1320754716981132;3.014685285697956
Auvergne-Rhône-Alpes;2020-05-16;60+;9;706;2111609.0;0.42621526996711984;1.2747875354107647;5.588155761791127
Auvergne-Rhône-Alpes;2020-05-16;whole;25;2001;8032377.0;0.3112403713122529;1.249375312343828;3.2742487062049
Auvergne-Rhône-Alpes;2020-05-17;0-19;1;63;1940253.0;0.05153967034196056;1.5873015873015872;1.288491758549014
Auvergne-Rhône-Alpes;2020-05-17;20-59;7;214;3980515.0;0.1758566416657141;3.2710280373831773;3.19054192736367
Auvergne-Rhône-Alpes;2020-05-17;60+;5;360;2111609.0;0.23678626109284437;1.3888888888888888;5.824942022883971
Auvergne-Rhône-Alpes;2020-05-17;whole;13;637;8032377.0;0.16184499308237152;2.0408163265306123;3.4360936992872713
Auvergne-Rhône-Alpes;2020-05-18;0-19;4;575;1940253.0;0.20615868136784224;0.6956521739130435;1.4946504399168563
Auvergne-Rhône-Alpes;2020-05-18;20-59;30;2956;3980515.0;0.7536713214244891;1.0148849797023005;3.944213248788159
Auvergne-Rhône-Alpes;2020-05-18;60+;39;1886;2111609.0;1.846932836524186;2.067868504772004;7.671874859408157
Auvergne-Rhône-Alpes;2020-05-18;whole;73;5419;8032377.0;0.9088218842317783;1.3471120132865844;4.344915583519049
Auvergne-Rhône-Alpes;2020-05-19;0-19;6;664;1940253.0;0.3092380220517633;0.9036144578313252;1.8038884619686195
Auvergne-Rhône-Alpes;2020-05-19;20-59;33;3096;3980515.0;0.829038453566938;1.065891472868217;4.773251702355097
Auvergne-Rhône-Alpes;2020-05-19;60+;33;1870;2111609.0;1.5627893232127728;1.7647058823529411;9.23466418262093
Auvergne-Rhône-Alpes;2020-05-19;whole;72;5630;8032377.0;0.8963722693792884;1.2788632326820604;5.2412878528983375
Auvergne-Rhône-Alpes;2020-05-20;0-19;5;721;1940253.0;0.25769835170980276;0.6934812760055479;1.9069678026525405
Auvergne-Rhône-Alpes;2020-05-20;20-59;37;2760;3980515.0;0.9295279630902031;1.3405797101449275;5.09984260830571
Auvergne-Rhône-Alpes;2020-05-20;60+;18;1686;2111609.0;0.8524305399342397;1.0676156583629894;8.713734408216673
Auvergne-Rhône-Alpes;2020-05-20;whole;60;5167;8032377.0;0.746976891149407;1.1612154054577124;5.278636697455808
Auvergne-Rhône-Alpes;2020-05-21;0-19;1;94;1940253.0;0.05153967034196056;1.0638297872340425;1.391571099232935
Auvergne-Rhône-Alpes;2020-05-21;20-59;5;305;3980515.0;0.1256118869040815;1.639344262295082;4.120069890453874
Auvergne-Rhône-Alpes;2020-05-21;60+;9;331;2111609.0;0.42621526996711984;2.719033232628399;6.866801571692486
Auvergne-Rhône-Alpes;2020-05-21;whole;15;730;8032377.0;0.18674422278735175;2.054794520547945;4.183070590436679
Auvergne-Rhône-Alpes;2020-05-22;0-19;8;618;1940253.0;0.4123173627356845;1.2944983818770228;1.494650439916856
Auvergne-Rhône-Alpes;2020-05-22;20-59;36;2564;3980515.0;0.9044055857093868;1.40405616224649;4.019580380930608
Auvergne-Rhône-Alpes;2020-05-22;60+;30;1737;2111609.0;1.4207175665570662;1.7271157167530224;6.772087067255348
Auvergne-Rhône-Alpes;2020-05-22;whole;74;4922;8032377.0;0.9212714990842686;1.5034538805363673;4.133272131026718
Auvergne-Rhône-Alpes;2020-05-23;0-19;5;294;1940253.0;0.25769835170980276;1.7006802721088436;1.5461901102588167
Auvergne-Rhône-Alpes;2020-05-23;20-59;12;1030;3980515.0;0.3014685285697956;1.1650485436893203;4.019580380930608
Auvergne-Rhône-Alpes;2020-05-23;60+;5;850;2111609.0;0.23678626109284437;0.5882352941176471;6.582658058381073
Auvergne-Rhône-Alpes;2020-05-23;whole;22;2175;8032377.0;0.27389152675478257;1.011494252873563;4.095923286469248
Auvergne-Rhône-Alpes;2020-05-24;0-19;0;82;1940253.0;0.0;0.0;1.494650439916856
Auvergne-Rhône-Alpes;2020-05-24;20-59;1;259;3980515.0;0.0251223773808163;0.3861003861003861;3.868846116645711
Auvergne-Rhône-Alpes;2020-05-24;60+;1;366;2111609.0;0.047357252218568874;0.273224043715847;6.393229049506798
Auvergne-Rhône-Alpes;2020-05-24;whole;2;707;8032377.0;0.024899229704980232;0.2828854314002829;3.9589775230918574
Auvergne-Rhône-Alpes;2020-05-25;0-19;2;670;1940253.0;0.10307934068392112;0.2985074626865672;1.391571099232935
Auvergne-Rhône-Alpes;2020-05-25;20-59;22;2568;3980515.0;0.5526923023779586;0.8566978193146416;3.66786709759918
Auvergne-Rhône-Alpes;2020-05-25;60+;20;2072;2111609.0;0.9471450443713775;0.9652509652509652;5.4934412573539895
Auvergne-Rhône-Alpes;2020-05-25;whole;44;5311;8032377.0;0.5477830535095651;0.8284692148371304;3.5979386923696435
Auvergne-Rhône-Alpes;2020-05-26;0-19;1;693;1940253.0;0.05153967034196056;0.1443001443001443;1.1338727475231325
