entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
FR;0-29;2020-05-13;92;54;146;4253;3327;7653;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-13;193;137;330;10521;7097;17655;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-13;244;168;415;8417;5798;14275;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-13;537;361;901;23368;16324;39872;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-14;76;91;176;4854;3751;8690;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-14;201;157;363;11364;7343;18777;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-14;272;164;454;8701;6245;15025;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-14;561;418;1013;25327;17616;43188;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-15;90;95;191;5578;4687;10454;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-15;186;180;376;11881;8601;20611;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-15;286;170;472;9920;7143;17173;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-15;565;447;1046;27514;20518;48470;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-16;33;27;60;1961;1640;3636;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-16;42;55;97;3974;2907;6920;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-16;85;49;135;3296;2791;6113;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-16;160;131;292;9232;7342;16674;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-17;13;14;27;685;638;1333;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-17;29;13;42;1224;971;2213;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-17;36;35;71;1536;1553;3095;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-17;78;62;140;3446;3162;6642;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-18;130;78;211;6042;4876;11000;23576479.03461425;0.0;0.0;0.0;;0.0
FR;30-59;2020-05-18;190;152;345;12936;9004;22070;25680932.859880406;0.0;0.0;0.0;;0.0
FR;60+;2020-05-18;361;206;567;10835;7874;18831;17857583.105505355;0.0;0.0;0.0;;0.0
FR;whole;2020-05-18;681;437;1124;29820;21765;51929;67114995.0;0.0;0.0;0.0;;0.0
FR;0-29;2020-05-19;98;78;178;6374;5441;11938;23576479.03461425;989.0;54704.0;4.19485877661368;1.8079116700789704;232.02786098672877
FR;30-59;2020-05-19;214;171;387;13698;9442;23264;25680932.859880406;1940.0;111510.0;7.554242716123181;1.7397542821271637;434.2131985953072
FR;60+;2020-05-19;308;179;489;10517;7607;18241;17857583.105505355;2603.0;92753.0;14.576440633769277;2.8063782303537352;519.403994661545
FR;whole;2020-05-19;620;428;1056;30593;22498;53467;67114995.0;5572.0;260242.0;8.302168539236277;2.141084067906026;387.7553741902238
FR;0-29;2020-05-20;118;83;203;6593;5608;12377;23576479.03461425;1046.0;59428.0;4.436625157065631;1.7601130780103655;252.06477995611505
FR;30-59;2020-05-20;237;194;434;13451;9397;22985;25680932.859880406;2044.0;116840.0;7.959212428740093;1.749400890106128;454.967896366924
FR;60+;2020-05-20;263;158;422;10569;7692;18370;17857583.105505355;2610.0;96848.0;14.615639667359895;2.694944655542706;542.335429312058
FR;whole;2020-05-20;618;435;1060;30623;22711;53760;67114995.0;5731.0;274130.0;8.539075358643773;2.0906139422901546;408.448216378471
FR;0-29;2020-05-21;19;26;45;1116;998;2132;23576479.03461425;915.0;52870.0;3.880986633570796;1.7306601097030452;224.24892165780105
FR;30-59;2020-05-21;32;23;55;1889;1465;3373;25680932.859880406;1736.0;101436.0;6.759879049066929;1.7114239520485826;394.9856516250881
FR;60+;2020-05-21;53;44;97;2324;1930;4273;17857583.105505355;2253.0;86096.0;12.616488954238255;2.616846311094592;482.12571371686505
FR;whole;2020-05-21;104;93;197;5329;4393;9778;67114995.0;4915.0;240720.0;7.323251681684547;2.0417912927883015;358.6679847029714
FR;0-29;2020-05-22;82;94;179;5972;5292;11403;23576479.03461425;903.0;53819.0;3.83008844821249;1.6778461138259722;228.2741198165537
FR;30-59;2020-05-22;164;138;305;11883;8728;20803;25680932.859880406;1665.0;101628.0;6.483409341414998;1.638328019837053;395.7332880176116
FR;60+;2020-05-22;215;124;341;10346;8238;18781;17857583.105505355;2122.0;87704.0;11.882907039899502;2.419501961142023;491.13029171882465
FR;whole;2020-05-22;461;358;827;28203;22271;51006;67114995.0;4696.0;243256.0;6.996946062500638;1.9304765350083863;362.44657397352114
FR;0-29;2020-05-23;40;23;66;2344;2063;4451;23576479.03461425;909.0;54634.0;3.855537540891643;1.6637990994618737;231.73095490547198
FR;30-59;2020-05-23;47;42;93;4089;3134;7252;25680932.859880406;1661.0;101960.0;6.467833583237424;1.6290702236171049;397.0260759463502
FR;60+;2020-05-23;58;49;108;3912;3453;7383;17857583.105505355;2095.0;88974.0;11.731710767478537;2.3546204509182456;498.24211638455154
FR;whole;2020-05-23;145;114;267;10349;8651;19095;67114995.0;4671.0;245677.0;6.959696562593799;1.9012768798055986;366.0538155444994
FR;0-29;2020-05-24;29;21;52;823;750;1606;23576479.03461425;934.0;54907.0;3.9615754270547794;1.7010581528766822;232.8888886223734
FR;30-59;2020-05-24;13;20;35;1165;1131;2326;25680932.859880406;1654.0;102073.0;6.440576006426671;1.6204089230256777;397.46609111486674
FR;60+;2020-05-24;30;23;53;1623;1581;3217;17857583.105505355;2077.0;89096.0;11.63091325253123;2.3311933195654126;498.9252995414166
FR;whole;2020-05-24;72;64;140;3613;3464;7153;67114995.0;4671.0;246188.0;6.959696562593799;1.897330495393764;366.8151953225952
FR;0-29;2020-05-25;73;72;147;5966;5559;11675;23576479.03461425;870.0;55582.0;3.69011843847715;1.5652549386492032;235.7519115487781
FR;30-59;2020-05-25;166;97;265;11873;8805;20805;25680932.859880406;1574.0;100808.0;6.129060842875199;1.5613840171414968;392.540257591209
FR;60+;2020-05-25;192;112;305;10791;8627;19567;17857583.105505355;1815.0;89832.0;10.163749423853721;2.020438151215602;503.0467979303733
FR;whole;2020-05-25;431;281;717;28638;23001;52079;67114995.0;4264.0;246338.0;6.35327470411046;1.7309550292687284;367.03869232203624
FR;0-29;2020-05-26;80;82;174;6601;6123;12946;23576479.03461425;866.0;56590.0;3.673152376691048;1.5303057077222124;240.02735911887578
FR;30-59;2020-05-26;161;129;294;12510;9308;22005;25680932.859880406;1481.0;99549.0;5.766924465246614;1.487709570161428;387.6377877048178
FR;60+;2020-05-26;206;100;308;10892;8227;19228;17857583.105505355;1634.0;90819.0;9.150174412439108;1.7991829903434304;508.5738616666508
FR;whole;2020-05-26;447;311;778;30015;23672;54254;67114995.0;3986.0;247125.0;5.93906026514641;1.6129489124936773;368.2113065791035
FR;0-29;2020-05-27;80;71;153;5643;5354;11110;23576479.03461425;816.0;55323.0;3.4610766043647754;1.474974242177756;234.653359048128
FR;30-59;2020-05-27;154;125;280;10851;8279;19220;25680932.859880406;1327.0;95784.0;5.1672577754100315;1.3854088365489017;372.97710532017663
FR;60+;2020-05-27;186;111;297;9358;6999;16444;17857583.105505355;1509.0;88893.0;8.450191669749458;1.6975464884749079;497.7885275672886
FR;whole;2020-05-27;420;307;732;25874;20655;46835;67114995.0;3658.0;240200.0;5.4503468263686825;1.5228975853455455;357.8931951049091
FR;0-29;2020-05-28;84;87;173;5635;4998;10784;23576479.03461425;944.0;63975.0;4.003990581520034;1.47557639703009;271.35095069146627
FR;30-59;2020-05-28;129;118;251;10785;7637;18569;25680932.859880406;1523.0;110980.0;5.930469926111137;1.3723193368174447;432.14941063677867
FR;60+;2020-05-28;133;72;210;8664;6602;15360;17857583.105505355;1622.0;99980.0;9.082976069140901;1.6223244648929787;559.8741969128898
