entity;three_class;jour;P_f;P_h;P;T_f;T_h;T;pop;P hebdo;T hebdo;incidence hebdo;positivite hebdo;taux de test hebdo
01;0-29;2020-05-13;0;0;0;2;0;2;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-13;0;0;0;12;4;16;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-13;0;0;0;3;5;8;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-13;0;0;0;17;9;26;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-14;0;0;0;9;8;20;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-14;0;0;0;16;17;40;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-14;0;0;0;6;7;14;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-14;0;0;0;31;32;74;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-15;0;0;0;14;9;24;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-15;0;0;0;11;14;25;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-15;0;0;0;16;14;30;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-15;0;0;0;41;37;79;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-16;0;0;0;1;0;2;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-16;0;0;0;1;1;3;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-16;0;0;0;3;2;5;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-16;0;0;0;5;3;10;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-17;0;0;0;1;1;2;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-17;0;0;0;1;0;1;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-17;0;0;0;1;0;1;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-17;0;0;0;3;1;4;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-18;0;0;0;8;8;16;125175.0;0.0;0.0;0.0;;0.0
01;30-59;2020-05-18;0;0;0;15;19;34;146601.0;0.0;0.0;0.0;;0.0
01;60+;2020-05-18;0;0;0;12;11;23;105103.0;0.0;0.0;0.0;;0.0
01;whole;2020-05-18;0;0;0;35;38;73;376879.0;0.0;0.0;0.0;;0.0
01;0-29;2020-05-19;0;0;0;11;8;19;125175.0;0.0;85.0;0.0;0.0;67.90493309366887
01;30-59;2020-05-19;0;0;0;30;17;47;146601.0;0.0;166.0;0.0;0.0;113.23251546715234
01;60+;2020-05-19;0;0;0;19;14;33;105103.0;0.0;114.0;0.0;0.0;108.46502954244885
01;whole;2020-05-19;0;0;0;60;39;99;376879.0;0.0;365.0;0.0;0.0;96.84805998742303
01;0-29;2020-05-20;0;0;0;27;19;46;125175.0;0.0;129.0;0.0;0.0;103.0557219892151
01;30-59;2020-05-20;0;0;0;36;34;70;146601.0;0.0;220.0;0.0;0.0;150.0671891733344
01;60+;2020-05-20;1;0;1;15;9;24;105103.0;1.0;130.0;0.9514476275653406;0.7692307692307693;123.68819158349429
01;whole;2020-05-20;1;0;1;78;62;140;376879.0;1.0;479.0;0.26533715065047403;0.20876826722338201;127.09649516157707
01;0-29;2020-05-21;1;0;1;17;25;42;125175.0;1.0;151.0;0.7988815658078691;0.6622516556291391;120.63111643698821
01;30-59;2020-05-21;0;1;1;18;19;38;146601.0;1.0;218.0;0.6821235871515201;0.45871559633027525;148.70294199903137
01;60+;2020-05-21;0;0;0;12;8;21;105103.0;1.0;137.0;0.9514476275653406;0.7299270072992701;130.34832497645166
01;whole;2020-05-21;1;1;2;47;52;101;376879.0;3.0;506.0;0.7960114519514221;0.592885375494071;134.26059822913984
01;0-29;2020-05-22;0;0;0;25;22;47;125175.0;1.0;174.0;0.7988815658078691;0.5747126436781609;139.00539245056922
01;30-59;2020-05-22;2;0;2;38;34;72;146601.0;3.0;265.0;2.0463707614545603;1.1320754716981132;180.76275059515282
01;60+;2020-05-22;1;0;1;23;22;45;105103.0;2.0;152.0;1.9028952551306813;1.3157894736842104;144.62003938993178
01;whole;2020-05-22;3;0;3;86;78;164;376879.0;6.0;591.0;1.5920229039028442;1.015228426395939;156.81425603443014
01;0-29;2020-05-23;0;0;0;1;0;1;125175.0;1.0;173.0;0.7988815658078691;0.5780346820809248;138.20651088476131
01;30-59;2020-05-23;0;0;0;2;1;3;146601.0;3.0;265.0;2.0463707614545603;1.1320754716981132;180.76275059515282
01;60+;2020-05-23;0;0;0;7;4;11;105103.0;2.0;158.0;1.9028952551306813;1.2658227848101267;150.3287251553238
01;whole;2020-05-23;0;0;0;10;5;15;376879.0;6.0;596.0;1.5920229039028442;1.006711409395973;158.14094178768252
01;0-29;2020-05-24;1;0;1;1;0;1;125175.0;2.0;172.0;1.5977631316157381;1.1627906976744187;137.40762931895347
01;30-59;2020-05-24;0;0;0;1;0;1;146601.0;3.0;265.0;2.0463707614545603;1.1320754716981132;180.76275059515282
01;60+;2020-05-24;0;0;0;2;0;2;105103.0;2.0;159.0;1.9028952551306813;1.257861635220126;151.28017278288917
01;whole;2020-05-24;1;0;1;4;0;4;376879.0;7.0;596.0;1.857360054553318;1.174496644295302;158.14094178768252
01;0-29;2020-05-25;0;1;1;14;10;24;125175.0;3.0;180.0;2.396644697423607;1.6666666666666667;143.7986818454164
01;30-59;2020-05-25;0;0;0;35;33;68;146601.0;3.0;299.0;2.0463707614545603;1.0033444816053512;203.95495255830454
01;60+;2020-05-25;0;0;0;26;21;47;105103.0;2.0;183.0;1.9028952551306813;1.092896174863388;174.11491584445733
01;whole;2020-05-25;0;1;1;75;64;139;376879.0;8.0;662.0;2.1226972052037922;1.2084592145015105;175.6531937306138
01;0-29;2020-05-26;0;1;1;35;33;68;125175.0;4.0;229.0;3.1955262632314763;1.7467248908296942;182.943878570002
01;30-59;2020-05-26;0;0;0;65;59;124;146601.0;3.0;376.0;2.0463707614545603;0.7978723404255319;256.47846876897154
01;60+;2020-05-26;0;0;0;39;25;64;105103.0;2.0;214.0;1.9028952551306813;0.9345794392523363;203.60979229898288
01;whole;2020-05-26;0;1;1;139;117;256;376879.0;9.0;819.0;2.3880343558542663;1.098901098901099;217.31112638273825
01;0-29;2020-05-27;0;0;0;16;14;30;125175.0;4.0;213.0;3.1955262632314763;1.8779342723004695;170.16177351707609
01;30-59;2020-05-27;0;0;0;10;15;26;146601.0;3.0;332.0;2.0463707614545603;0.9036144578313252;226.46503093430468
01;60+;2020-05-27;0;0;0;3;9;12;105103.0;1.0;202.0;0.9514476275653406;0.49504950495049505;192.19242076819882
01;whole;2020-05-27;0;0;0;29;38;68;376879.0;8.0;747.0;2.1226972052037922;1.07095046854083;198.2068515359041
01;0-29;2020-05-28;0;0;0;36;27;64;125175.0;3.0;235.0;2.396644697423607;1.276595744680851;187.73716796484922
01;30-59;2020-05-28;1;0;1;54;45;99;146601.0;3.0;393.0;2.0463707614545603;0.7633587786259541;268.07456975054737
01;60+;2020-05-28;0;0;0;19;18;37;105103.0;1.0;218.0;0.9514476275653406;0.45871559633027525;207.41558280924426
01;whole;2020-05-28;1;0;1;109;90;200;376879.0;7.0;846.0;1.857360054553318;0.8274231678486997;224.47522945030101
01;0-29;2020-05-29;0;0;0;17;21;39;125175.0;3.0;227.0;2.396644697423607;1.3215859030837005;181.34611543838625
01;30-59;2020-05-29;0;0;0;38;23;61;146601.0;1.0;382.0;0.6821235871515201;0.2617801047120419;260.5712102918807
01;60+;2020-05-29;0;0;0;18;16;34;105103.0;0.0;207.0;0.0;0.0;196.94965890602552
01;whole;2020-05-29;0;0;0;73;60;134;376879.0;4.0;816.0;1.0613486026018961;0.49019607843137253;216.51511493078678
01;0-29;2020-05-30;0;0;0;4;1;5;125175.0;3.0;231.0;2.396644697423607;1.2987012987012987;184.54164170161772
01;30-59;2020-05-30;0;0;0;5;1;6;146601.0;1.0;385.0;0.6821235871515201;0.2597402597402597;262.61758105333524
01;60+;2020-05-30;0;0;0;0;1;1;105103.0;0.0;197.0;0.0;0.0;187.4351826303721
01;whole;2020-05-30;0;0;0;9;3;12;376879.0;4.0;813.0;1.0613486026018961;0.4920049200492005;215.71910347883536
01;0-29;2020-05-31;0;0;0;0;0;0;125175.0;2.0;230.0;1.5977631316157381;0.8695652173913043;183.74276013580987
