entity;three_class;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2;taux dose 1;taux dose 2
01;0-29;2020-12-27;0;0;0;0;0.0;0.0
01;30-59;2020-12-27;0;0;0;0;0.0;0.0
01;60+;2020-12-27;0;0;0;0;0.0;0.0
01;whole;2020-12-27;0;0;0;0;0.0;0.0
01;0-29;2020-12-28;0;0;0;0;0.0;0.0
01;30-59;2020-12-28;0;0;0;0;0.0;0.0
01;60+;2020-12-28;0;0;0;0;0.0;0.0
01;whole;2020-12-28;0;0;0;0;0.0;0.0
01;0-29;2020-12-29;0;0;0;0;0.0;0.0
01;30-59;2020-12-29;0;0;0;0;0.0;0.0
01;60+;2020-12-29;0;0;0;0;0.0;0.0
01;whole;2020-12-29;0;0;0;0;0.0;0.0
01;0-29;2020-12-30;0;0;0;0;0.0;0.0
01;30-59;2020-12-30;0;0;0;0;0.0;0.0
01;60+;2020-12-30;0;0;0;0;0.0;0.0
01;whole;2020-12-30;0;0;0;0;0.0;0.0
01;0-29;2020-12-31;0;0;0;0;0.0;0.0
01;30-59;2020-12-31;0;0;0;0;0.0;0.0
01;60+;2020-12-31;0;0;0;0;0.0;0.0
01;whole;2020-12-31;0;0;0;0;0.0;0.0
01;0-29;2021-01-01;0;0;0;0;0.0;0.0
01;30-59;2021-01-01;0;0;0;0;0.0;0.0
01;60+;2021-01-01;0;0;0;0;0.0;0.0
01;whole;2021-01-01;0;0;0;0;0.0;0.0
01;0-29;2021-01-02;0;0;0;0;0.0;0.0
01;30-59;2021-01-02;0;0;0;0;0.0;0.0
01;60+;2021-01-02;0;0;0;0;0.0;0.0
01;whole;2021-01-02;0;0;0;0;0.0;0.0
01;0-29;2021-01-03;0;0;0;0;0.0;0.0
01;30-59;2021-01-03;0;0;0;0;0.0;0.0
01;60+;2021-01-03;0;0;0;0;0.0;0.0
01;whole;2021-01-03;0;0;0;0;0.0;0.0
01;0-29;2021-01-04;0;0;0;0;0.0;0.0
01;30-59;2021-01-04;0;0;0;0;0.0;0.0
01;60+;2021-01-04;0;0;0;0;0.0;0.0
01;whole;2021-01-04;0;0;0;0;0.0;0.0
01;0-29;2021-01-05;0;0;0;0;0.0;0.0
01;30-59;2021-01-05;0;0;0;0;0.0;0.0
01;60+;2021-01-05;0;0;0;0;0.0;0.0
01;whole;2021-01-05;0;0;0;0;0.0;0.0
01;0-29;2021-01-06;0;0;0;0;0.0;0.0
01;30-59;2021-01-06;1;0;1;0;0.3772773403456615;0.0
01;60+;2021-01-06;0;0;0;0;0.0;0.0
01;whole;2021-01-06;1;0;1;0;0.15221742737325997;0.0
01;0-29;2021-01-07;0;0;0;0;0.0;0.0
01;30-59;2021-01-07;16;0;17;0;6.413714785876245;0.0
01;60+;2021-01-07;50;0;50;0;31.49884084265699;0.0
01;whole;2021-01-07;66;0;67;0;10.198567634008418;0.0
01;0-29;2021-01-08;0;0;0;0;0.0;0.0
01;30-59;2021-01-08;33;0;50;0;18.863867017283077;0.0
01;60+;2021-01-08;126;0;176;0;110.8759197661526;0.0
01;whole;2021-01-08;159;0;226;0;34.40113858635675;0.0
01;0-29;2021-01-09;0;0;0;0;0.0;0.0
01;30-59;2021-01-09;0;0;50;0;18.863867017283077;0.0
01;60+;2021-01-09;2;0;178;0;112.1358733998589;0.0
01;whole;2021-01-09;2;0;228;0;34.705573441103276;0.0
01;0-29;2021-01-10;0;0;0;0;0.0;0.0
01;30-59;2021-01-10;0;0;50;0;18.863867017283077;0.0
01;60+;2021-01-10;0;0;178;0;112.1358733998589;0.0
01;whole;2021-01-10;0;0;228;0;34.705573441103276;0.0
01;0-29;2021-01-11;2;0;2;0;0.8577727073879964;0.0
01;30-59;2021-01-11;73;0;123;0;46.40511286251636;0.0
01;60+;2021-01-11;65;0;243;0;153.08436649531296;0.0
01;whole;2021-01-11;140;0;368;0;56.01601327335967;0.0
01;0-29;2021-01-12;4;0;6;0;2.573318122163989;0.0
01;30-59;2021-01-12;161;0;284;0;107.14676465816785;0.0
01;60+;2021-01-12;144;0;387;0;243.8010281221651;0.0
01;whole;2021-01-12;309;0;677;0;103.051198331697;0.0
01;0-29;2021-01-13;2;0;8;0;3.4310908295519855;0.0
01;30-59;2021-01-13;186;0;470;0;177.3203499624609;0.0
01;60+;2021-01-13;255;0;642;0;404.44511641971576;0.0
01;whole;2021-01-13;443;0;1120;0;170.48351865805117;0.0
01;0-29;2021-01-14;4;0;12;0;5.146636244327978;0.0
01;30-59;2021-01-14;234;0;704;0;265.6032476033457;0.0
01;60+;2021-01-14;274;0;916;0;577.0587642374761;0.0
01;whole;2021-01-14;512;0;1632;0;248.41884147316028;0.0
01;0-29;2021-01-15;3;0;15;0;6.433295305409973;0.0
01;30-59;2021-01-15;187;0;891;0;336.1541102479844;0.0
01;60+;2021-01-15;205;0;1121;0;706.2040116923698;0.0
01;whole;2021-01-15;395;0;2027;0;308.54472528559796;0.0
01;0-29;2021-01-16;5;0;20;0;8.577727073879963;0.0
01;30-59;2021-01-16;51;2;942;2;355.3952546056131;0.754554680691323
01;60+;2021-01-16;145;0;1266;0;797.550650136075;0.0
01;whole;2021-01-16;201;2;2228;2;339.14042818762323;0.30443485474651993
01;0-29;2021-01-17;1;0;21;0;9.006613427573962;0.0
01;30-59;2021-01-17;65;0;1007;2;379.9182817280811;0.754554680691323
01;60+;2021-01-17;60;0;1326;0;835.3492591472634;0.0
01;whole;2021-01-17;126;0;2354;2;358.319824036654;0.30443485474651993
01;0-29;2021-01-18;1;0;22;0;9.435499781267959;0.0
01;30-59;2021-01-18;66;0;1073;2;404.8185861908948;0.754554680691323
01;60+;2021-01-18;292;0;1618;0;1019.3024896683802;0.0
01;whole;2021-01-18;359;0;2713;2;412.9658804636543;0.30443485474651993
01;0-29;2021-01-19;3;0;25;0;10.722158842349954;0.0
01;30-59;2021-01-19;168;0;1241;2;468.2011793689659;0.754554680691323
01;60+;2021-01-19;866;0;2484;0;1564.862413063199;0.0
01;whole;2021-01-19;1037;0;3750;2;570.8153526497248;0.30443485474651993
01;0-29;2021-01-20;10;0;35;0;15.011022379289937;0.0
01;30-59;2021-01-20;271;0;1512;2;570.4433386026402;0.754554680691323
01;60+;2021-01-20;959;0;3443;0;2169.0101804253604;0.0
01;whole;2021-01-20;1240;0;4990;2;759.5649625925672;0.30443485474651993
01;0-29;2021-01-21;6;0;41;0;17.584340501453926;0.0
01;30-59;2021-01-21;144;0;1656;2;624.7712756124155;0.754554680691323
01;60+;2021-01-21;937;0;4380;0;2759.298457816752;0.0
01;whole;2021-01-21;1087;0;6077;2;925.0253061473007;0.30443485474651993
01;0-29;2021-01-22;10;0;51;0;21.873204038393904;0.0
01;30-59;2021-01-22;123;0;1779;2;671.1763884749319;0.754554680691323
01;60+;2021-01-22;511;0;4891;0;3081.216611228707;0.0
01;whole;2021-01-22;644;0;6721;2;1023.0533293756802;0.30443485474651993
01;0-29;2021-01-23;1;0;52;0;22.302090392087905;0.0
01;30-59;2021-01-23;10;0;1789;2;674.9491618783884;0.754554680691323
01;60+;2021-01-23;210;0;5101;0;3213.511742767866;0.0
01;whole;2021-01-23;221;0;6942;2;1056.6933808251708;0.30443485474651993
01;0-29;2021-01-24;0;0;52;0;22.302090392087905;0.0
01;30-59;2021-01-24;9;0;1798;2;678.3446579414993;0.754554680691323
01;60+;2021-01-24;59;0;5160;0;3250.6803749622013;0.0
01;whole;2021-01-24;68;0;7010;2;1067.0441658865525;0.30443485474651993
01;0-29;2021-01-25;0;0;52;0;22.302090392087905;0.0
01;30-59;2021-01-25;43;0;1841;2;694.5675835763628;0.754554680691323
01;60+;2021-01-25;427;1;5587;1;3519.6804757584923;0.6299768168531398
01;whole;2021-01-25;470;1;7480;3;1138.5863567519846;0.45665228211977993
01;0-29;2021-01-26;9;0;61;0;26.162067575333886;0.0
01;30-59;2021-01-26;73;0;1914;2;722.1088294215962;0.754554680691323
01;60+;2021-01-26;653;0;6240;1;3931.055337163592;0.6299768168531398
01;whole;2021-01-26;735;0;8215;3;1250.4661658713305;0.45665228211977993
01;0-29;2021-01-27;8;0;69;0;29.593158404885873;0.0
01;30-59;2021-01-27;80;0;1994;2;752.2910166492491;0.754554680691323
01;60+;2021-01-27;428;0;6668;1;4200.685414776736;0.6299768168531398
01;whole;2021-01-27;517;0;8732;3;1329.162575823306;0.45665228211977993
01;0-29;2021-01-28;1;0;70;0;30.022044758579874;0.0
01;30-59;2021-01-28;80;17;2074;19;782.4732038769021;7.168269466567569
01;60+;2021-01-28;586;83;7254;84;4569.851829452677;52.91805261566375
01;whole;2021-01-28;667;100;9399;103;1430.6915998812703;15.678395019445778
01;0-29;2021-01-29;6;0;76;0;32.59536288074386;0.0
01;30-59;2021-01-29;64;29;2138;48;806.6189536590242;18.10931233659175
01;60+;2021-01-29;564;36;7818;120;4925.1587541578465;75.59721802237678
01;whole;2021-01-29;634;65;10033;168;1527.1974488359172;25.572527798707675
