jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
2020-03-18;0-19;40;6;0.0;0.0;0.0;74;0;0.24845197339501732;0.0372677960092526
2020-03-18;20-59;770;218;0.0;0.0;0.0;424;11;2.3222344600292177;0.6574637821900903
2020-03-18;60+;2095;540;0.0;0.0;0.0;308;205;11.731710836791295;3.0239254662851067
2020-03-18;whole;2972;771;0.0;0.0;0.0;816;218;4.428220548925021;1.1487745771269149
2020-03-19;0-19;45;8;0.0;0.0;0.0;100;0;0.2795084700693945;0.04969039467900347
2020-03-19;20-59;1115;345;0.0;0.0;0.0;667;19;3.3627161336786724;1.0404816736494547
2020-03-19;60+;3200;754;0.0;0.0;0.0;508;347;17.91955831872656;4.222295928849945
2020-03-19;whole;4461;1122;0.0;0.0;0.0;1292;372;6.646800763376351;1.6717575558189344
2020-03-20;0-19;47;7;0.0;0.0;0.0;118;0;0.29193106873914537;0.043479095344128034
2020-03-20;20-59;1349;411;0.0;0.0;0.0;804;20;4.068434138414824;1.2395303416519592
2020-03-20;60+;3715;863;0.0;0.0;0.0;640;424;20.803487235646614;4.83268088408157
2020-03-20;whole;5226;1297;0.0;0.0;0.0;1587;450;7.786635460525625;1.9325040551668073
2020-03-21;0-19;47;7;0.0;0.0;0.0;118;0;0.29193106873914537;0.043479095344128034
2020-03-21;20-59;1591;485;0.0;0.0;0.0;956;24;4.798279254424008;1.4627061209274943
2020-03-21;60+;4411;1012;0.0;0.0;0.0;798;530;24.700991169969644;5.667060318297274
2020-03-21;whole;6172;1525;0.0;0.0;0.0;1896;562;9.196156537000412;2.272219494317179
2020-03-22;0-19;56;6;0.0;0.0;0.0;127;0;0.34783276275302427;0.0372677960092526
2020-03-22;20-59;1918;569;0.0;0.0;0.0;1109;28;5.784474927709143;1.7160407892943181
2020-03-22;60+;5142;1150;0.0;0.0;0.0;939;638;28.794490273403742;6.439841270792357
2020-03-22;whole;7240;1746;0.0;0.0;0.0;2203;674;10.787455173020573;2.6015050734936356
2020-03-23;0-19;64;12;0.0;0.0;0.0;144;0;0.39752315743202776;0.0745355920185052
2020-03-23;20-59;2328;692;0.0;0.0;0.0;1314;38;7.020989380451973;2.0869951251171672
2020-03-23;60+;6152;1355;0.0;0.0;0.0;1074;812;34.45035086775181;7.587812975585777
2020-03-23;whole;8673;2080;0.0;0.0;0.0;2567;860;12.922596507680586;3.099158392249005
2020-03-24;0-19;60;10;0.0;0.0;0.0;171;0;0.372677960092526;0.06211299334875433
2020-03-24;20-59;2734;847;0.0;0.0;0.0;1675;53;8.245440277558288;2.5544579060321397
2020-03-24;60+;7244;1615;0.0;0.0;0.0;1392;1034;40.565400144017254;9.04377708898231
2020-03-24;whole;10163;2503;0.0;0.0;0.0;3281;1100;15.14266670212819;3.7294199306727207
2020-03-25;0-19;70;14;0.0;0.0;0.0;195;1;0.4347909534412804;0.08695819068825607
2020-03-25;20-59;3231;978;0.0;0.0;0.0;2089;66;9.744337065395328;2.9495393531280194
2020-03-25;60+;8623;1906;0.0;0.0;0.0;1748;1306;48.28760980699348;10.673336923591508
2020-03-25;whole;12072;2935;0.0;0.0;0.0;4085;1387;17.987038515014415;4.373091289062899
2020-03-26;0-19;81;16;0.0;0.0;0.0;209;1;0.5031152461249101;0.09938078935800694
2020-03-26;20-59;3692;1131;0.0;0.0;0.0;2534;84;11.13466185250373;3.4109703562247344
2020-03-26;60+;9909;2159;0.0;0.0;0.0;2146;1593;55.489032306331715;12.090102003165827
2020-03-26;whole;13879;3351;0.0;0.0;0.0;4947;1695;20.67943236828074;4.992922967512699
2020-03-27;0-19;89;13;0.0;0.0;0.0;235;1;0.5528056408039136;0.08074689135338063
2020-03-27;20-59;4217;1263;0.0;0.0;0.0;2892;99;12.718003529796379;3.8090676922297435
2020-03-27;60+;11185;2437;0.0;0.0;0.0;2503;1874;62.63445618592393;13.646863632105196
2020-03-27;whole;15701;3758;0.0;0.0;0.0;5698;1994;23.394175921491165;5.599344825996038
2020-03-28;0-19;99;16;0.0;0.0;0.0;251;1;0.6149186341526679;0.09938078935800694
2020-03-28;20-59;4754;1417;0.0;0.0;0.0;3344;119;14.337535873998574;4.273514584235587
2020-03-28;60+;12477;2748;0.0;0.0;0.0;2952;2171;69.86947785710979;15.388420706206434
2020-03-28;whole;17580;4236;0.0;0.0;0.0;6624;2313;26.193848334489186;6.3115552642148005
2020-03-29;0-19;111;16;0.0;0.0;0.0;256;1;0.6894542261711731;0.09938078935800694
2020-03-29;20-59;5354;1558;0.0;0.0;0.0;3593;137;16.14706921947589;4.698754920422755
2020-03-29;60+;13576;2960;0.0;0.0;0.0;3198;2443;76.02372616719744;16.57559144482207
2020-03-29;whole;19311;4592;0.0;0.0;0.0;7131;2606;28.77300370803872;6.841988142888188
2020-03-30;0-19;122;22;0.0;0.0;0.0;275;1;0.7577785188548029;0.13664858536725955
2020-03-30;20-59;5812;1707;0.0;0.0;0.0;4016;160;17.528346339856903;5.148122367882954
2020-03-30;60+;14695;3242;0.0;0.0;0.0;3536;2825;82.28997171677712;18.154752521659844
2020-03-30;whole;20946;5056;0.0;0.0;0.0;7923;3024;31.20912100194599;7.53333886115912
2020-03-31;0-19;121;23;0.0;0.0;0.0;293;1;0.7515672195199274;0.14285988470213495
2020-03-31;20-59;6229;1872;0.0;0.0;0.0;4793;194;18.785972014963633;5.645744037889216
2020-03-31;60+;15977;3525;0.0;0.0;0.0;4229;3281;89.46899476821696;19.739513460472224
2020-03-31;whole;22672;5496;0.0;0.0;0.0;9443;3523;33.780826475514154;8.188930059519485
2020-04-01;0-19;129;29;0.0;0.0;0.0;307;1;0.8012576141989309;0.18012768071138757
2020-04-01;20-59;6678;2043;0.0;0.0;0.0;5496;232;20.14010613516249;6.1614610413502495
2020-04-01;60+;17404;3802;0.0;0.0;0.0;4980;3750;97.45999780597408;21.290675227436996
2020-04-01;whole;24543;5940;0.0;0.0;0.0;10934;4032;36.568579048541984;8.850481177864946
2020-04-02;0-19;147;35;0.0;0.0;0.0;342;1;0.9130610022266887;0.2173954767206402
2020-04-02;20-59;7047;2172;0.0;0.0;0.0;6180;274;21.252969142631038;6.550510710627872
2020-04-02;60+;18598;4030;0.0;0.0;0.0;5738;4180;104.14623300364892;22.567443757646263
2020-04-02;whole;26131;6305;0.0;0.0;0.0;12427;4503;38.934667282624396;9.394323876504796
2020-04-03;0-19;158;39;0.0;0.0;0.0;368;1;0.9813852949103186;0.2422406740601419
2020-04-03;20-59;7251;2234;0.0;0.0;0.0;6855;320;21.868210480093325;6.737495822993861
2020-04-03;60+;19562;4215;0.0;0.0;0.0;6619;4721;109.5444999471653;23.603418222947642
2020-04-03;whole;27302;6556;0.0;0.0;0.0;14007;5091;40.67943385826074;9.768308855569458
2020-04-04;0-19;157;41;0.0;0.0;0.0;386;1;0.975173995575443;0.25466327272989275
2020-04-04;20-59;7263;2306;0.0;0.0;0.0;7508;348;21.90440114700287;6.954639824451139
2020-04-04;60+;20256;4307;0.0;0.0;0.0;7371;5131;113.43080415753913;24.11860552461103
2020-04-04;whole;28003;6723;0.0;0.0;0.0;15437;5532;41.723909835648506;10.017135514947144
2020-04-05;0-19;159;43;0.0;0.0;0.0;399;1;0.987596594245194;0.2670858713996436
2020-04-05;20-59;7402;2370;0.0;0.0;0.0;7856;381;22.323609705371783;7.147656714635385
2020-04-05;60+;20838;4374;0.0;0.0;0.0;7755;5454;116.68992382675752;24.493796276909364
2020-04-05;whole;28747;6859;0.0;0.0;0.0;16182;5889;42.83245495287603;10.219772794440349
2020-04-06;0-19;167;41;0.0;0.0;0.0;415;1;1.0372869889241974;0.25466327272989275
2020-04-06;20-59;7556;2414;0.0;0.0;0.0;8412;415;22.788056597377626;7.280355826637055
2020-04-06;60+;21524;4420;0.0;0.0;0.0;8249;6021;120.53142914133451;24.751389927741062
2020-04-06;whole;29569;6948;0.0;0.0;0.0;17249;6494;44.0572185098129;10.352381014108696
2020-04-07;0-19;167;43;0.0;0.0;0.0;450;1;1.0372869889241974;0.2670858713996436
2020-04-07;20-59;7471;2383;0.0;0.0;0.0;9271;462;22.53170604010167;7.18686327045406
2020-04-07;60+;21928;4507;0.0;0.0;0.0;9415;6570;122.79377337907376;25.238577919531437
2020-04-07;whole;29871;7004;0.0;0.0;0.0;19336;7091;44.50719246868751;10.435819893900014
2020-04-08;0-19;162;48;0.0;0.0;0.0;477;1;1.0062304922498202;0.2981423680740208
2020-04-08;20-59;7416;2385;0.0;0.0;0.0;10050;502;22.365832150099582;7.192895048272318
2020-04-08;60+;22337;4518;0.0;0.0;0.0;10516;7068;125.08411692668601;25.30017640125206
2020-04-08;whole;30217;7019;0.0;0.0;0.0;21253;7632;45.02272554739816;10.458169593844117
2020-04-09;0-19;157;41;0.0;0.0;0.0;521;1;0.975173995575443;0.25466327272989275
2020-04-09;20-59;7250;2325;0.0;0.0;0.0;10814;535;21.865194591184196;7.011941713724587
2020-04-09;60+;22897;4502;0.0;0.0;0.0;11650;7446;128.22003963246314;25.210578609658427
2020-04-09;whole;30608;6937;0.0;0.0;0.0;23205;8044;45.605307725941124;10.335991234149686
2020-04-10;0-19;163;41;0.0;0.0;0.0;544;2;1.0124417915846957;0.25466327272989275
2020-04-10;20-59;7194;2301;0.0;0.0;0.0;11466;570;21.696304812272977;6.939560379905494
2020-04-10;60+;23457;4466;0.0;0.0;0.0;12691;7962;131.3559623382403;25.008983578572757
2020-04-10;whole;31108;6875;0.0;0.0;0.0;24931;8598;46.350297724077905;10.243612474380726
2020-04-11;0-19;170;40;0.0;0.0;0.0;563;2;1.0559208869288237;0.24845197339501732
2020-04-11;20-59;7029;2252;0.0;0.0;0.0;12046;596;21.198683142266717;6.791781823358181
2020-04-11;60+;23655;4394;0.0;0.0;0.0;13544;8278;132.4647350092115;24.60579351640141
2020-04-11;whole;31159;6752;0.0;0.0;0.0;26390;8943;46.42628670388786;10.060344934839078
2020-04-12;0-19;169;38;0.0;0.0;0.0;577;2;1.0497095875939482;0.23602937472526647
2020-04-12;20-59;7025;2239;0.0;0.0;0.0;12420;631;21.186619586630204;6.7525752675395045
2020-04-12;60+;24172;4369;0.0;0.0;0.0;13946;8553;135.35986365008074;24.465796967036354
2020-04-12;whole;31665;6714;0.0;0.0;0.0;27185;9253;47.180216582002274;10.003725694980682
2020-04-13;0-19;181;39;0.0;0.0;0.0;586;3;1.1242451796124535;0.2422406740601419
2020-04-13;20-59;7052;2240;0.0;0.0;0.0;12663;651;21.268048587176683;6.755591156448634
2020-04-13;60+;24421;4345;0.0;0.0;0.0;14222;8871;136.75422928175666;24.331400279645905
2020-04-13;whole;31952;6690;0.0;0.0;0.0;27717;9588;47.60784084093279;9.967966175070117
2020-04-14;0-19;195;42;0.0;0.0;0.0;610;3;1.2112033703007097;0.2608745720647682
2020-04-14;20-59;6831;2162;0.0;0.0;0.0;13028;665;20.601537138259204;6.520351821536583
2020-04-14;60+;24833;4335;0.0;0.0;0.0;14928;9394;139.0613724152927;24.275401659899888
2020-04-14;whole;32131;6599;0.0;0.0;0.0;28804;10129;47.87454726026576;9.832377995409223
2020-04-15;0-19;187;42;0.0;0.0;0.0;640;3;1.161512975621706;0.2608745720647682
2020-04-15;20-59;6570;2057;0.0;0.0;0.0;13787;696;19.814390132976577;6.203683486078054
2020-04-15;60+;24618;4176;0.0;0.0;0.0;16265;9873;137.85740209075325;23.385023605938162
2020-04-15;whole;31623;6331;0.0;0.0;0.0;30952;10643;47.117637422158786;9.433063356407908
2020-04-16;0-19;197;42;0.0;0.0;0.0;665;3;1.2236259689704603;0.2608745720647682
2020-04-16;20-59;6331;1984;0.0;0.0;0.0;14394;725;19.093592683694776;5.983523595711647
2020-04-16;60+;24422;4064;0.0;0.0;0.0;17425;10250;136.75982914373128;22.75783906478273
2020-04-16;whole;31172;6139;0.0;0.0;0.0;32806;11053;46.44565644383941;9.146987197123385
2020-04-17;0-19;186;43;0.0;0.0;0.0;690;3;1.1553016762868307;0.2670858713996436
2020-04-17;20-59;6202;1905;0.0;0.0;0.0;14907;756;18.704543014417155;5.745268371890468
2020-04-17;60+;24463;3925;0.0;0.0;0.0;18484;10637;136.98942348468995;21.979458250313048
2020-04-17;whole;31061;5922;0.0;0.0;0.0;34414;11470;46.28026866425305;8.823661537932022
2020-04-18;0-19;188;43;0.0;0.0;0.0;703;4;1.1677242749565815;0.2670858713996436
2020-04-18;20-59;5910;1835;0.0;0.0;0.0;15465;772;17.82390345295153;5.534156148251448
2020-04-18;60+;24224;3812;0.0;0.0;0.0;19468;10980;135.65105647276008;21.346673847183016
2020-04-18;whole;30515;5733;0.0;0.0;0.0;35977;11834;45.46673958628768;8.542055318636319
2020-04-19;0-19;180;42;0.0;0.0;0.0;721;4;1.118033880277578;0.2608745720647682
2020-04-19;20-59;5829;1802;0.0;0.0;0.0;15741;787;17.579616451312095;5.434631814250196
2020-04-19;60+;24297;3771;0.0;0.0;0.0;19766;11192;136.059846396906;21.117079506224332
2020-04-19;whole;30486;5644;0.0;0.0;0.0;36572;12061;45.42353016639575;8.409447098967972
2020-04-20;0-19;171;33;0.0;0.0;0.0;737;4;1.0621321862636992;0.2049728780508893
2020-04-20;20-59;5766;1769;0.0;0.0;0.0;16059;803;17.389615450036974;5.3351074802489435
2020-04-20;60+;24343;3753;0.0;0.0;0.0;20263;11619;136.3174400477377;21.01628199068149
2020-04-20;whole;30462;5584;0.0;0.0;0.0;37403;12505;45.38777064648519;8.320048299191559
2020-04-21;0-19;165;35;0.0;0.0;0.0;757;5;1.0248643902544465;0.2173954767206402
