jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;sum;sum;sum;sum;sum;sum;sum
2020-03-18;0-19;40;6;0.0;0.0;0.0;74;0
2020-03-18;20-59;770;218;0.0;0.0;0.0;424;11
2020-03-18;60+;2095;540;0.0;0.0;0.0;308;205
2020-03-18;whole;2972;771;0.0;0.0;0.0;816;218
2020-03-19;0-19;45;8;0.0;0.0;0.0;100;0
2020-03-19;20-59;1115;345;0.0;0.0;0.0;667;19
2020-03-19;60+;3200;754;0.0;0.0;0.0;508;347
2020-03-19;whole;4461;1122;0.0;0.0;0.0;1292;372
2020-03-20;0-19;47;7;0.0;0.0;0.0;118;0
2020-03-20;20-59;1349;411;0.0;0.0;0.0;804;20
2020-03-20;60+;3715;863;0.0;0.0;0.0;640;424
2020-03-20;whole;5226;1297;0.0;0.0;0.0;1587;450
2020-03-21;0-19;47;7;0.0;0.0;0.0;118;0
2020-03-21;20-59;1591;485;0.0;0.0;0.0;956;24
2020-03-21;60+;4411;1012;0.0;0.0;0.0;798;530
2020-03-21;whole;6172;1525;0.0;0.0;0.0;1896;562
2020-03-22;0-19;56;6;0.0;0.0;0.0;127;0
2020-03-22;20-59;1918;569;0.0;0.0;0.0;1109;28
2020-03-22;60+;5142;1150;0.0;0.0;0.0;939;638
2020-03-22;whole;7240;1746;0.0;0.0;0.0;2203;674
2020-03-23;0-19;64;12;0.0;0.0;0.0;144;0
2020-03-23;20-59;2328;692;0.0;0.0;0.0;1314;38
2020-03-23;60+;6152;1355;0.0;0.0;0.0;1074;812
2020-03-23;whole;8673;2080;0.0;0.0;0.0;2567;860
2020-03-24;0-19;60;10;0.0;0.0;0.0;171;0
2020-03-24;20-59;2734;847;0.0;0.0;0.0;1675;53
2020-03-24;60+;7244;1615;0.0;0.0;0.0;1392;1034
2020-03-24;whole;10163;2503;0.0;0.0;0.0;3281;1100
2020-03-25;0-19;70;14;0.0;0.0;0.0;195;1
2020-03-25;20-59;3231;978;0.0;0.0;0.0;2089;66
2020-03-25;60+;8623;1906;0.0;0.0;0.0;1748;1306
2020-03-25;whole;12072;2935;0.0;0.0;0.0;4085;1387
2020-03-26;0-19;81;16;0.0;0.0;0.0;209;1
2020-03-26;20-59;3692;1131;0.0;0.0;0.0;2534;84
2020-03-26;60+;9909;2159;0.0;0.0;0.0;2146;1593
2020-03-26;whole;13879;3351;0.0;0.0;0.0;4947;1695
2020-03-27;0-19;89;13;0.0;0.0;0.0;235;1
2020-03-27;20-59;4217;1263;0.0;0.0;0.0;2892;99
2020-03-27;60+;11185;2437;0.0;0.0;0.0;2503;1874
2020-03-27;whole;15701;3758;0.0;0.0;0.0;5698;1994
2020-03-28;0-19;99;16;0.0;0.0;0.0;251;1
2020-03-28;20-59;4754;1417;0.0;0.0;0.0;3344;119
2020-03-28;60+;12477;2748;0.0;0.0;0.0;2952;2171
2020-03-28;whole;17580;4236;0.0;0.0;0.0;6624;2313
2020-03-29;0-19;111;16;0.0;0.0;0.0;256;1
2020-03-29;20-59;5354;1558;0.0;0.0;0.0;3593;137
2020-03-29;60+;13576;2960;0.0;0.0;0.0;3198;2443
2020-03-29;whole;19311;4592;0.0;0.0;0.0;7131;2606
2020-03-30;0-19;122;22;0.0;0.0;0.0;275;1
