reg;jour;three_class;hosp;rea;HospConv;SSR_USLD;autres;rad;dc
;;;sum;sum;sum;sum;sum;sum;sum
11;2020-03-18;0-19;9;3;0.0;0.0;0.0;1;0
11;2020-03-18;20-59;319;109;0.0;0.0;0.0;75;4
11;2020-03-18;60+;616;177;0.0;0.0;0.0;51;30
11;2020-03-18;whole;957;294;0.0;0.0;0.0;129;36
11;2020-03-19;0-19;11;4;0.0;0.0;0.0;7;0
11;2020-03-19;20-59;495;166;0.0;0.0;0.0;141;6
11;2020-03-19;60+;937;234;0.0;0.0;0.0;100;63
11;2020-03-19;whole;1482;410;0.0;0.0;0.0;251;73
11;2020-03-20;0-19;16;4;0.0;0.0;0.0;8;0
11;2020-03-20;20-59;601;204;0.0;0.0;0.0;187;7
11;2020-03-20;60+;1126;270;0.0;0.0;0.0;152;88
11;2020-03-20;whole;1785;484;0.0;0.0;0.0;350;99
11;2020-03-21;0-19;18;5;0.0;0.0;0.0;11;0
11;2020-03-21;20-59;720;241;0.0;0.0;0.0;245;9
11;2020-03-21;60+;1396;316;0.0;0.0;0.0;197;113
11;2020-03-21;whole;2178;567;0.0;0.0;0.0;457;126
11;2020-03-22;0-19;24;4;0.0;0.0;0.0;13;0
11;2020-03-22;20-59;895;290;0.0;0.0;0.0;292;11
11;2020-03-22;60+;1672;366;0.0;0.0;0.0;235;133
11;2020-03-22;whole;2638;666;0.0;0.0;0.0;545;148
11;2020-03-23;0-19;27;7;0.0;0.0;0.0;20;0
11;2020-03-23;20-59;1077;341;0.0;0.0;0.0;366;15
11;2020-03-23;60+;1993;435;0.0;0.0;0.0;273;172
11;2020-03-23;whole;3142;787;0.0;0.0;0.0;665;193
11;2020-03-24;0-19;25;6;0.0;0.0;0.0;26;0
11;2020-03-24;20-59;1263;423;0.0;0.0;0.0;472;20
11;2020-03-24;60+;2356;534;0.0;0.0;0.0;348;234
11;2020-03-24;whole;3683;973;0.0;0.0;0.0;854;262
11;2020-03-25;0-19;22;6;0.0;0.0;0.0;36;1
11;2020-03-25;20-59;1512;473;0.0;0.0;0.0;593;25
11;2020-03-25;60+;2807;623;0.0;0.0;0.0;447;324
11;2020-03-25;whole;4389;1114;0.0;0.0;0.0;1084;357
11;2020-03-26;0-19;29;10;0.0;0.0;0.0;43;1
11;2020-03-26;20-59;1775;554;0.0;0.0;0.0;715;36
11;2020-03-26;60+;3271;694;0.0;0.0;0.0;543;415
11;2020-03-26;whole;5132;1269;0.0;0.0;0.0;1310;460
11;2020-03-27;0-19;30;8;0.0;0.0;0.0;61;1
11;2020-03-27;20-59;2004;614;0.0;0.0;0.0;870;44
11;2020-03-27;60+;3703;758;0.0;0.0;0.0;655;524
11;2020-03-27;whole;5793;1389;0.0;0.0;0.0;1598;578
11;2020-03-28;0-19;37;8;0.0;0.0;0.0;67;1
11;2020-03-28;20-59;2243;683;0.0;0.0;0.0;1064;58
11;2020-03-28;60+;4170;865;0.0;0.0;0.0;784;620
11;2020-03-28;whole;6523;1570;0.0;0.0;0.0;1937;688
11;2020-03-29;0-19;40;8;0.0;0.0;0.0;71;1
11;2020-03-29;20-59;2477;745;0.0;0.0;0.0;1159;70
11;2020-03-29;60+;4498;900;0.0;0.0;0.0;856;726
11;2020-03-29;whole;7092;1668;0.0;0.0;0.0;2109;807
11;2020-03-30;0-19;47;11;0.0;0.0;0.0;79;1
11;2020-03-30;20-59;2662;800;0.0;0.0;0.0;1335;82
11;2020-03-30;60+;4861;951;0.0;0.0;0.0;954;853
11;2020-03-30;whole;7689;1792;0.0;0.0;0.0;2394;954
11;2020-03-31;0-19;50;12;0.0;0.0;0.0;88;1
11;2020-03-31;20-59;2973;908;0.0;0.0;0.0;1615;101
11;2020-03-31;60+;5452;1034;0.0;0.0;0.0;1168;1050
11;2020-03-31;whole;8615;1977;0.0;0.0;0.0;2907;1176
11;2020-04-01;0-19;55;15;0.0;0.0;0.0;92;1
11;2020-04-01;20-59;3291;1023;0.0;0.0;0.0;1888;121
11;2020-04-01;60+;6128;1149;0.0;0.0;0.0;1411;1221
11;2020-04-01;whole;9609;2204;0.0;0.0;0.0;3432;1369
11;2020-04-02;0-19;60;20;0.0;0.0;0.0;104;1
11;2020-04-02;20-59;3476;1070;0.0;0.0;0.0;2122;142
11;2020-04-02;60+;6596;1195;0.0;0.0;0.0;1615;1404
11;2020-04-02;whole;10273;2301;0.0;0.0;0.0;3887;1571
11;2020-04-03;0-19;71;24;0.0;0.0;0.0;106;1
11;2020-04-03;20-59;3613;1084;0.0;0.0;0.0;2365;167
11;2020-04-03;60+;6986;1249;0.0;0.0;0.0;1890;1597
11;2020-04-03;whole;10824;2375;0.0;0.0;0.0;4417;1791
11;2020-04-04;0-19;72;30;0.0;0.0;0.0;114;1
11;2020-04-04;20-59;3660;1124;0.0;0.0;0.0;2610;188
11;2020-04-04;60+;7326;1262;0.0;0.0;0.0;2096;1750
11;2020-04-04;whole;11214;2436;0.0;0.0;0.0;4881;1967
11;2020-04-05;0-19;81;32;0.0;0.0;0.0;116;1
11;2020-04-05;20-59;3718;1162;0.0;0.0;0.0;2753;205
11;2020-04-05;60+;7503;1291;0.0;0.0;0.0;2237;1873
11;2020-04-05;whole;11474;2506;0.0;0.0;0.0;5166;2107
11;2020-04-06;0-19;88;28;0.0;0.0;0.0;122;1
11;2020-04-06;20-59;3773;1177;0.0;0.0;0.0;2989;226
11;2020-04-06;60+;7753;1310;0.0;0.0;0.0;2427;2099
11;2020-04-06;whole;11762;2537;0.0;0.0;0.0;5597;2355
11;2020-04-07;0-19;83;27;0.0;0.0;0.0;136;1
11;2020-04-07;20-59;3853;1175;0.0;0.0;0.0;3277;253
11;2020-04-07;60+;7993;1378;0.0;0.0;0.0;2733;2343
11;2020-04-07;whole;12074;2601;0.0;0.0;0.0;6225;2627
11;2020-04-08;0-19;82;29;0.0;0.0;0.0;146;1
11;2020-04-08;20-59;3894;1194;0.0;0.0;0.0;3564;271
11;2020-04-08;60+;8355;1424;0.0;0.0;0.0;3065;2548
11;2020-04-08;whole;12479;2668;0.0;0.0;0.0;6857;2850
11;2020-04-09;0-19;82;24;0.0;0.0;0.0;164;1
11;2020-04-09;20-59;3828;1165;0.0;0.0;0.0;3927;291
11;2020-04-09;60+;8619;1442;0.0;0.0;0.0;3446;2717
11;2020-04-09;whole;12681;2654;0.0;0.0;0.0;7620;3040
11;2020-04-10;0-19;82;25;0.0;0.0;0.0;172;2
11;2020-04-10;20-59;3788;1157;0.0;0.0;0.0;4239;313
11;2020-04-10;60+;8841;1459;0.0;0.0;0.0;3808;2952
11;2020-04-10;whole;12861;2665;0.0;0.0;0.0;8313;3300
11;2020-04-11;0-19;87;26;0.0;0.0;0.0;183;2
11;2020-04-11;20-59;3761;1142;0.0;0.0;0.0;4453;329
11;2020-04-11;60+;9009;1426;0.0;0.0;0.0;4064;3052
11;2020-04-11;whole;13025;2617;0.0;0.0;0.0;8796;3416
11;2020-04-12;0-19;81;25;0.0;0.0;0.0;189;2
11;2020-04-12;20-59;3753;1143;0.0;0.0;0.0;4613;355
11;2020-04-12;60+;9166;1433;0.0;0.0;0.0;4220;3158
11;2020-04-12;whole;13165;2626;0.0;0.0;0.0;9119;3548
11;2020-04-13;0-19;87;24;0.0;0.0;0.0;193;3
11;2020-04-13;20-59;3741;1148;0.0;0.0;0.0;4745;370
11;2020-04-13;60+;9203;1409;0.0;0.0;0.0;4350;3302
11;2020-04-13;whole;13196;2604;0.0;0.0;0.0;9387;3704
11;2020-04-14;0-19;95;26;0.0;0.0;0.0;202;3
11;2020-04-14;20-59;3604;1125;0.0;0.0;0.0;4913;386
11;2020-04-14;60+;9358;1426;0.0;0.0;0.0;4586;3517
11;2020-04-14;whole;13209;2599;0.0;0.0;0.0;9790;3937
11;2020-04-15;0-19;85;25;0.0;0.0;0.0;213;3
11;2020-04-15;20-59;3448;1071;0.0;0.0;0.0;5240;406
11;2020-04-15;60+;9349;1377;0.0;0.0;0.0;4986;3697
11;2020-04-15;whole;13018;2494;0.0;0.0;0.0;10544;4140
11;2020-04-16;0-19;88;27;0.0;0.0;0.0;219;3
11;2020-04-16;20-59;3334;1036;0.0;0.0;0.0;5510;425
11;2020-04-16;60+;9304;1341;0.0;0.0;0.0;5386;3853
11;2020-04-16;whole;12834;2419;0.0;0.0;0.0;11279;4319
11;2020-04-17;0-19;80;27;0.0;0.0;0.0;231;3
11;2020-04-17;20-59;3306;1010;0.0;0.0;0.0;5733;440
11;2020-04-17;60+;9275;1290;0.0;0.0;0.0;5792;4030
11;2020-04-17;whole;12766;2341;0.0;0.0;0.0;11927;4510
11;2020-04-18;0-19;82;28;0.0;0.0;0.0;237;4
11;2020-04-18;20-59;3112;979;0.0;0.0;0.0;6010;453
11;2020-04-18;60+;9200;1272;0.0;0.0;0.0;6134;4167
11;2020-04-18;whole;12490;2293;0.0;0.0;0.0;12555;4664
11;2020-04-19;0-19;79;26;0.0;0.0;0.0;244;4
11;2020-04-19;20-59;3073;966;0.0;0.0;0.0;6112;462
11;2020-04-19;60+;9226;1249;0.0;0.0;0.0;6235;4250
11;2020-04-19;whole;12474;2254;0.0;0.0;0.0;12766;4756
11;2020-04-20;0-19;74;16;0.0;0.0;0.0;252;4
11;2020-04-20;20-59;3049;948;0.0;0.0;0.0;6242;472
11;2020-04-20;60+;9251;1232;0.0;0.0;0.0;6426;4425
11;2020-04-20;whole;12474;2210;0.0;0.0;0.0;13095;4942
11;2020-04-21;0-19;72;17;0.0;0.0;0.0;257;5
11;2020-04-21;20-59;2950;914;0.0;0.0;0.0;6474;484
11;2020-04-21;60+;9147;1183;0.0;0.0;0.0;6803;4565
11;2020-04-21;whole;12269;2126;0.0;0.0;0.0;13709;5094
11;2020-04-22;0-19;71;20;0.0;0.0;0.0;266;5
11;2020-04-22;20-59;2830;875;0.0;0.0;0.0;6716;494
11;2020-04-22;60+;9133;1147;0.0;0.0;0.0;7121;4679
11;2020-04-22;whole;12134;2055;0.0;0.0;0.0;14278;5219
11;2020-04-23;0-19;69;20;0.0;0.0;0.0;275;5
11;2020-04-23;20-59;2753;850;0.0;0.0;0.0;6889;502
11;2020-04-23;60+;9030;1123;0.0;0.0;0.0;7454;4782
11;2020-04-23;whole;11950;2006;0.0;0.0;0.0;14795;5330
11;2020-04-24;0-19;63;19;0.0;0.0;0.0;282;5
11;2020-04-24;20-59;2685;816;0.0;0.0;0.0;7050;510
11;2020-04-24;60+;8919;1098;0.0;0.0;0.0;7832;4892
11;2020-04-24;whole;11758;1947;0.0;0.0;0.0;15345;5452
11;2020-04-25;0-19;68;24;0.0;0.0;0.0;282;5
11;2020-04-25;20-59;2611;795;0.0;0.0;0.0;7202;519
11;2020-04-25;60+;8827;1074;0.0;0.0;0.0;8087;4945
11;2020-04-25;whole;11609;1913;0.0;0.0;0.0;15754;5516
11;2020-04-26;0-19;65;24;0.0;0.0;0.0;289;5
11;2020-04-26;20-59;2606;793;0.0;0.0;0.0;7249;521
11;2020-04-26;60+;8796;1054;0.0;0.0;0.0;8177;5004
11;2020-04-26;whole;11570;1891;0.0;0.0;0.0;15899;5578
11;2020-04-27;0-19;69;25;0.0;0.0;0.0;291;5
11;2020-04-27;20-59;2585;785;0.0;0.0;0.0;7337;525
11;2020-04-27;60+;8737;1033;0.0;0.0;0.0;8345;5111
11;2020-04-27;whole;11488;1859;0.0;0.0;0.0;16160;5690
11;2020-04-28;0-19;75;27;0.0;0.0;0.0;294;5
11;2020-04-28;20-59;2484;739;0.0;0.0;0.0;7496;541
11;2020-04-28;60+;8629;981;0.0;0.0;0.0;8691;5247
11;2020-04-28;whole;11279;1761;0.0;0.0;0.0;16670;5843
11;2020-04-29;0-19;75;26;0.0;0.0;0.0;297;5
11;2020-04-29;20-59;2420;701;0.0;0.0;0.0;7624;550
11;2020-04-29;60+;8499;940;0.0;0.0;0.0;9031;5333
11;2020-04-29;whole;11085;1680;0.0;0.0;0.0;17140;5938
11;2020-04-30;0-19;77;28;0.0;0.0;0.0;304;5
11;2020-04-30;20-59;2347;668;0.0;0.0;0.0;7760;556
11;2020-04-30;60+;8385;905;0.0;0.0;0.0;9318;5396
11;2020-04-30;whole;10901;1613;0.0;0.0;0.0;17570;6008
11;2020-05-01;0-19;74;27;0.0;0.0;0.0;308;5
11;2020-05-01;20-59;2313;651;0.0;0.0;0.0;7819;561
11;2020-05-01;60+;8308;879;0.0;0.0;0.0;9500;5429
11;2020-05-01;whole;10784;1569;0.0;0.0;0.0;17817;6047
11;2020-05-02;0-19;78;29;0.0;0.0;0.0;313;5
11;2020-05-02;20-59;2291;644;0.0;0.0;0.0;7865;568
11;2020-05-02;60+;8258;867;0.0;0.0;0.0;9602;5459
11;2020-05-02;whole;10715;1552;0.0;0.0;0.0;17970;6085
11;2020-05-03;0-19;75;28;0.0;0.0;0.0;316;5
