dep;clage_vacsi;jour;n_tot_dose1;n_tot_dose2;pop;couv_tot_dose1;couv_tot_dose2
00;59;2021-04-24;0;1;;;
00;69;2021-04-24;0;1;;;
00;79;2021-04-24;1;0;;;
00;80;2021-04-24;1;0;;;
01;24;2021-04-24;946;131;45088.0;2.1;0.3
01;29;2021-04-24;1123;169;34820.0;3.2;0.5
01;39;2021-04-24;3679;690;85588.0;4.3;0.8
01;49;2021-04-24;6231;1346;89678.0;6.9;1.5
01;59;2021-04-24;16585;3350;89791.0;18.5;3.7
01;64;2021-04-24;13806;1619;38384.0;36.0;4.2
01;69;2021-04-24;15595;2194;35116.0;44.4;6.2
01;74;2021-04-24;19818;4367;30953.0;64.0;14.1
01;79;2021-04-24;14334;9836;20058.0;71.5;49.0
01;80;2021-04-24;22443;15881;34225.0;65.6;46.4
02;24;2021-04-24;1032;247;37469.0;2.8;0.7
02;29;2021-04-24;1105;337;26232.0;4.2;1.3
02;39;2021-04-24;3489;1173;62599.0;5.6;1.9
02;49;2021-04-24;5326;1995;64812.0;8.2;3.1
02;59;2021-04-24;15140;4146;70352.0;21.5;5.9
02;64;2021-04-24;11921;2411;34901.0;34.2;6.9
02;69;2021-04-24;14031;3484;34176.0;41.1;10.2
02;74;2021-04-24;18362;6208;28969.0;63.4;21.4
02;79;2021-04-24;11931;8516;16402.0;72.7;51.9
02;80;2021-04-24;20282;14837;32544.0;62.3;45.6
03;24;2021-04-24;800;175;20427.0;3.9;0.9
03;29;2021-04-24;811;264;14422.0;5.6;1.8
03;39;2021-04-24;2487;954;33349.0;7.5;2.9
03;49;2021-04-24;4215;1650;39464.0;10.7;4.2
03;59;2021-04-24;10893;3262;45840.0;23.8;7.1
03;64;2021-04-24;8912;1664;23776.0;37.5;7.0
03;69;2021-04-24;11205;2167;25182.0;44.5;8.6
03;74;2021-04-24;14823;4396;23121.0;64.1;19.0
03;79;2021-04-24;11659;9001;15099.0;77.2;59.6
03;80;2021-04-24;20953;16296;30684.0;68.3;53.1
04;24;2021-04-24;145;28;9366.0;1.5;0.3
04;29;2021-04-24;223;44;7090.0;3.1;0.6
04;39;2021-04-24;724;211;17545.0;4.1;1.2
04;49;2021-04-24;1602;476;19525.0;8.2;2.4
04;59;2021-04-24;5019;1261;23898.0;21.0;5.3
04;64;2021-04-24;4379;741;12510.0;35.0;5.9
04;69;2021-04-24;5410;1115;11975.0;45.2;9.3
04;74;2021-04-24;7595;2120;11196.0;67.8;18.9
04;79;2021-04-24;6084;4285;7612.0;79.9;56.3
04;80;2021-04-24;8859;6275;13386.0;66.2;46.9
05;24;2021-04-24;172;36;8030.0;2.1;0.4
05;29;2021-04-24;301;68;6298.0;4.8;1.1
