dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
00;59;2021-04-26;0;1;;;
00;69;2021-04-26;0;1;;;
00;79;2021-04-26;1;0;;;
00;80;2021-04-26;1;0;;;
01;24;2021-04-26;957;236;45088.0;2.1;0.5
01;29;2021-04-26;1139;291;34820.0;3.3;0.8
01;39;2021-04-26;3721;978;85588.0;4.3;1.1
01;49;2021-04-26;6311;1807;89678.0;7.0;2.0
01;59;2021-04-26;16792;4166;89791.0;18.7;4.6
01;64;2021-04-26;14171;2205;38384.0;36.9;5.7
01;69;2021-04-26;15926;2750;35116.0;45.4;7.8
01;74;2021-04-26;19756;5280;30953.0;63.8;17.1
01;79;2021-04-26;14359;10274;20058.0;71.6;51.2
01;80;2021-04-26;22489;16492;34225.0;65.7;48.2
02;24;2021-04-26;1053;281;37469.0;2.8;0.7
02;29;2021-04-26;1119;377;26232.0;4.3;1.4
02;39;2021-04-26;3525;1308;62599.0;5.6;2.1
02;49;2021-04-26;5423;2156;64812.0;8.4;3.3
02;59;2021-04-26;15581;4437;70352.0;22.1;6.3
02;64;2021-04-26;12255;2585;34901.0;35.1;7.4
02;69;2021-04-26;14409;3705;34176.0;42.2;10.8
02;74;2021-04-26;18649;6638;28969.0;64.4;22.9
02;79;2021-04-26;11989;8668;16402.0;73.1;52.8
02;80;2021-04-26;20393;15075;32544.0;62.7;46.3
03;24;2021-04-26;814;194;20427.0;4.0;0.9
03;29;2021-04-26;821;287;14422.0;5.7;2.0
03;39;2021-04-26;2514;1015;33349.0;7.5;3.0
03;49;2021-04-26;4267;1745;39464.0;10.8;4.4
03;59;2021-04-26;11110;3434;45840.0;24.2;7.5
03;64;2021-04-26;9290;1751;23776.0;39.1;7.4
03;69;2021-04-26;11626;2272;25182.0;46.2;9.0
03;74;2021-04-26;15026;4543;23121.0;65.0;19.6
03;79;2021-04-26;11701;9083;15099.0;77.5;60.2
03;80;2021-04-26;21012;16405;30684.0;68.5;53.5
04;24;2021-04-26;151;39;9366.0;1.6;0.4
04;29;2021-04-26;223;54;7090.0;3.1;0.8
04;39;2021-04-26;726;238;17545.0;4.1;1.4
04;49;2021-04-26;1612;539;19525.0;8.3;2.8
04;59;2021-04-26;5039;1404;23898.0;21.1;5.9
04;64;2021-04-26;4395;824;12510.0;35.1;6.6
04;69;2021-04-26;5426;1239;11975.0;45.3;10.3
04;74;2021-04-26;7614;2455;11196.0;68.0;21.9
04;79;2021-04-26;6088;4390;7612.0;80.0;57.7
04;80;2021-04-26;8858;6403;13386.0;66.2;47.8
05;24;2021-04-26;176;51;8030.0;2.2;0.6
05;29;2021-04-26;308;97;6298.0;4.9;1.5
05;39;2021-04-26;995;344;16000.0;6.2;2.2
05;49;2021-04-26;1571;574;17800.0;8.8;3.2
