entity;three_class;jour;hosp;rea;HospConv;SSR_USLD;autres;rad;dc;taux hosp;taux rea
Auvergne-Rhône-Alpes;0-19;2020-03-18;1;0;0.0;0.0;0.0;3;0;0.05153967034196056;0.0
Auvergne-Rhône-Alpes;20-59;2020-03-18;36;11;0.0;0.0;0.0;36;1;0.9044055857093868;0.2763461511889793
Auvergne-Rhône-Alpes;60+;2020-03-18;127;24;0.0;0.0;0.0;30;6;6.014371031758246;1.136574053245653
Auvergne-Rhône-Alpes;whole;2020-03-18;172;35;0.0;0.0;0.0;69;7;2.1413337546283;0.4357365198371541
Auvergne-Rhône-Alpes;0-19;2020-03-19;2;1;0.0;0.0;0.0;3;0;0.10307934068392112;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-03-19;62;13;0.0;0.0;0.0;65;2;1.557587397610611;0.3265909059506119
Auvergne-Rhône-Alpes;60+;2020-03-19;337;58;0.0;0.0;0.0;77;26;15.95939399765771;2.7467206286769947
Auvergne-Rhône-Alpes;whole;2020-03-19;408;74;0.0;0.0;0.0;145;28;5.079442859815967;0.9212714990842686
Auvergne-Rhône-Alpes;0-19;2020-03-20;2;1;0.0;0.0;0.0;3;0;0.10307934068392112;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-03-20;73;18;0.0;0.0;0.0;76;2;1.83393354879959;0.4522027928546934
Auvergne-Rhône-Alpes;60+;2020-03-20;379;66;0.0;0.0;0.0;98;31;17.948398590837602;3.1255786464255455
Auvergne-Rhône-Alpes;whole;2020-03-20;463;87;0.0;0.0;0.0;179;33;5.764171676702924;1.08311649216664
Auvergne-Rhône-Alpes;0-19;2020-03-21;3;1;0.0;0.0;0.0;3;0;0.15461901102588166;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-03-21;96;21;0.0;0.0;0.0;86;2;2.411748228558365;0.5275699249971424
Auvergne-Rhône-Alpes;60+;2020-03-21;471;73;0.0;0.0;0.0;110;38;22.305265794945942;3.457079411955528
Auvergne-Rhône-Alpes;whole;2020-03-21;581;97;0.0;0.0;0.0;200;40;7.233226229296758;1.2076126406915413
Auvergne-Rhône-Alpes;0-19;2020-03-22;5;1;0.0;0.0;0.0;3;0;0.25769835170980276;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-03-22;117;27;0.0;0.0;0.0;98;2;2.9393181535555075;0.6783041892820402
Auvergne-Rhône-Alpes;60+;2020-03-22;543;88;0.0;0.0;0.0;118;50;25.7149879546829;4.167438195234061
Auvergne-Rhône-Alpes;whole;2020-03-22;679;119;0.0;0.0;0.0;220;52;8.453288484840789;1.4815041674463238
Auvergne-Rhône-Alpes;0-19;2020-03-23;3;1;0.0;0.0;0.0;5;0;0.15461901102588166;0.05153967034196056
Auvergne-Rhône-Alpes;20-59;2020-03-23;146;36;0.0;0.0;0.0;116;2;3.66786709759918;0.9044055857093868
Auvergne-Rhône-Alpes;60+;2020-03-23;687;118;0.0;0.0;0.0;129;68;32.53443227415681;5.5881557617911275
Auvergne-Rhône-Alpes;whole;2020-03-23;853;157;0.0;0.0;0.0;254;70;10.61952146917407;1.954589531840948
Auvergne-Rhône-Alpes;0-19;2020-03-24;3;0;0.0;0.0;0.0;7;0;0.15461901102588166;0.0
Auvergne-Rhône-Alpes;20-59;2020-03-24;174;46;0.0;0.0;0.0;144;5;4.371293664262036;1.15562935951755
Auvergne-Rhône-Alpes;60+;2020-03-24;783;140;0.0;0.0;0.0;157;81;37.08072848713943;6.630015310599642
Auvergne-Rhône-Alpes;whole;2020-03-24;981;190;0.0;0.0;0.0;314;86;12.213072170292804;2.365426821973122
Auvergne-Rhône-Alpes;0-19;2020-03-25;7;2;0.0;0.0;0.0;8;0;0.3607776923937239;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-03-25;225;71;0.0;0.0;0.0;189;6;5.652534910683668;1.7836887940379573
Auvergne-Rhône-Alpes;60+;2020-03-25;966;179;0.0;0.0;0.0;196;99;45.74710564313753;8.476948147123828
Auvergne-Rhône-Alpes;whole;2020-03-25;1230;258;0.0;0.0;0.0;404;106;15.313026268562842;3.21200063194245
Auvergne-Rhône-Alpes;0-19;2020-03-26;4;0;0.0;0.0;0.0;8;0;0.20615868136784224;0.0
Auvergne-Rhône-Alpes;20-59;2020-03-26;261;72;0.0;0.0;0.0;235;7;6.556940496393055;1.8088111714187736
Auvergne-Rhône-Alpes;60+;2020-03-26;1120;209;0.0;0.0;0.0;241;125;53.04012248479714;9.897665713680894
Auvergne-Rhône-Alpes;whole;2020-03-26;1422;290;0.0;0.0;0.0;496;133;17.703352320240946;3.6103883072221334
Auvergne-Rhône-Alpes;0-19;2020-03-27;9;0;0.0;0.0;0.0;8;0;0.46385703307764503;0.0
Auvergne-Rhône-Alpes;20-59;2020-03-27;311;85;0.0;0.0;0.0;292;9;7.81305936543387;2.1354020773693856
Auvergne-Rhône-Alpes;60+;2020-03-27;1275;248;0.0;0.0;0.0;293;153;60.380496578675306;11.74459855020508
Auvergne-Rhône-Alpes;whole;2020-03-27;1638;344;0.0;0.0;0.0;606;164;20.39246912837881;4.2826675092566
Auvergne-Rhône-Alpes;0-19;2020-03-28;14;2;0.0;0.0;0.0;8;0;0.7215553847874479;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-03-28;358;104;0.0;0.0;0.0;344;10;8.993811102332236;2.6127272476048953
Auvergne-Rhône-Alpes;60+;2020-03-28;1483;314;0.0;0.0;0.0;338;181;70.23080504013764;14.870177196630625
Auvergne-Rhône-Alpes;whole;2020-03-28;1904;432;0.0;0.0;0.0;700;194;23.70406667914118;5.37823361627573
Auvergne-Rhône-Alpes;0-19;2020-03-29;15;2;0.0;0.0;0.0;10;0;0.7730950551294083;0.10307934068392112
Auvergne-Rhône-Alpes;20-59;2020-03-29;419;125;0.0;0.0;0.0;367;10;10.526276122562031;3.140297172602038
Auvergne-Rhône-Alpes;60+;2020-03-29;1619;357;0.0;0.0;0.0;367;213;76.671391341863;16.906539042029088
Auvergne-Rhône-Alpes;whole;2020-03-29;2115;497;0.0;0.0;0.0;755;227;26.330935413016594;6.187458581687588
Auvergne-Rhône-Alpes;0-19;2020-03-30;18;4;0.0;0.0;0.0;14;0;0.9277140661552901;0.20615868136784224
Auvergne-Rhône-Alpes;20-59;2020-03-30;477;147;0.0;0.0;0.0;408;12;11.983374010649376;3.6929894749799965
Auvergne-Rhône-Alpes;60+;2020-03-30;1777;418;0.0;0.0;0.0;407;246;84.15383719239689;19.795331427361788
