jour;cl_age90;P;T;pop
;;sum;sum;sum
2020-05-13;0;889;39317;67114995.0
2020-05-13;9;13;1276;7763205.686272893
2020-05-13;19;28;1675;8336486.160537239
2020-05-13;29;103;4622;7476787.1878041085
2020-05-13;39;106;5677;8295371.931939545
2020-05-13;49;103;5823;8592886.15993014
2020-05-13;59;115;5919;8792674.76801071
2020-05-13;69;92;4403;8004082.760304243
2020-05-13;79;87;3411;5695639.130797295
2020-05-13;89;121;3728;3245280.6081309738
2020-05-13;90;113;2514;912580.6062728533
2020-05-14;0;999;42664;67114995.0
2020-05-14;9;18;1502;7763205.686272893
2020-05-14;19;42;1903;8336486.160537239
2020-05-14;29;115;5198;7476787.1878041085
2020-05-14;39;113;6142;8295371.931939545
2020-05-14;49;121;6080;8592886.15993014
2020-05-14;59;127;6311;8792674.76801071
2020-05-14;69;85;4689;8004082.760304243
2020-05-14;79;81;3843;5695639.130797295
2020-05-14;89;160;3822;3245280.6081309738
2020-05-14;90;117;2496;912580.6062728533
2020-05-15;0;1028;47918;67114995.0
2020-05-15;9;16;2079;7763205.686272893
2020-05-15;19;41;2352;8336486.160537239
2020-05-15;29;132;5927;7476787.1878041085
2020-05-15;39;132;6711;8295371.931939545
2020-05-15;49;113;6768;8592886.15993014
2020-05-15;59;124;6862;8792674.76801071
2020-05-15;69;88;5464;8004082.760304243
2020-05-15;79;101;4534;5695639.130797295
2020-05-15;89;160;4304;3245280.6081309738
2020-05-15;90;114;2685;912580.6062728533
2020-05-16;0;291;16540;67114995.0
2020-05-16;9;10;894;7763205.686272893
2020-05-16;19;13;809;8336486.160537239
2020-05-16;29;37;1910;7476787.1878041085
2020-05-16;39;26;2290;8295371.931939545
2020-05-16;49;38;2219;8592886.15993014
2020-05-16;59;32;2349;8792674.76801071
2020-05-16;69;22;1914;8004082.760304243
2020-05-16;79;28;1679;5695639.130797295
2020-05-16;89;48;1605;3245280.6081309738
2020-05-16;90;37;866;912580.6062728533
2020-05-17;0;139;6605;67114995.0
2020-05-17;9;6;411;7763205.686272893
2020-05-17;19;4;294;8336486.160537239
2020-05-17;29;17;626;7476787.1878041085
2020-05-17;39;10;763;8295371.931939545
2020-05-17;49;14;676;8592886.15993014
2020-05-17;59;17;757;8792674.76801071
2020-05-17;69;16;790;8004082.760304243
2020-05-17;79;16;857;5695639.130797295
2020-05-17;89;22;942;3245280.6081309738
2020-05-17;90;17;488;912580.6062728533
2020-05-18;0;1117;51412;67114995.0
2020-05-18;9;35;2211;7763205.686272893
2020-05-18;19;50;2500;8336486.160537239
2020-05-18;29;126;6208;7476787.1878041085
2020-05-18;39;107;7274;8295371.931939545
2020-05-18;49;118;7148;8592886.15993014
2020-05-18;59;115;7374;8792674.76801071
2020-05-18;69;113;5796;8004082.760304243
2020-05-18;79;105;4937;5695639.130797295
2020-05-18;89;187;4848;3245280.6081309738
2020-05-18;90;160;3089;912580.6062728533
2020-05-19;0;1050;53039;67114995.0
2020-05-19;9;21;2390;7763205.686272893
2020-05-19;19;42;2626;8336486.160537239
2020-05-19;29;115;6821;7476787.1878041085
2020-05-19;39;121;7783;8295371.931939545
2020-05-19;49;139;7528;8592886.15993014
2020-05-19;59;124;7718;8792674.76801071
2020-05-19;69;104;5695;8004082.760304243
2020-05-19;79;91;4804;5695639.130797295
2020-05-19;89;143;4737;3245280.6081309738
2020-05-19;90;148;2914;912580.6062728533
2020-05-20;0;1047;53060;67114995.0
2020-05-20;9;27;2614;7763205.686272893
2020-05-20;19;59;2887;8336486.160537239
2020-05-20;29;117;6749;7476787.1878041085
2020-05-20;39;131;7592;8295371.931939545
2020-05-20;49;145;7532;8592886.15993014
2020-05-20;59;156;7603;8792674.76801071
2020-05-20;69;84;5992;8004082.760304243
2020-05-20;79;80;4908;5695639.130797295
2020-05-20;89;148;4599;3245280.6081309738
2020-05-20;90;99;2556;912580.6062728533
2020-05-21;0;195;9672;67114995.0
2020-05-21;9;8;649;7763205.686272893
2020-05-21;19;12;480;8336486.160537239
2020-05-21;29;24;987;7476787.1878041085
2020-05-21;39;19;1132;8295371.931939545
2020-05-21;49;18;1077;8592886.15993014
2020-05-21;59;17;1134;8792674.76801071
2020-05-21;69;15;1063;8004082.760304243
2020-05-21;79;27;1074;5695639.130797295
2020-05-21;89;30;1286;3245280.6081309738
2020-05-21;90;25;790;912580.6062728533
2020-05-22;0;793;50243;67114995.0
2020-05-22;9;24;2408;7763205.686272893
2020-05-22;19;39;2821;8336486.160537239
2020-05-22;29;99;5997;7476787.1878041085
2020-05-22;39;85;6662;8295371.931939545
2020-05-22;49;110;6559;8592886.15993014
2020-05-22;59;97;7249;8792674.76801071
2020-05-22;69;62;6190;8004082.760304243
2020-05-22;79;85;5392;5695639.130797295
2020-05-22;89;104;4564;3245280.6081309738
2020-05-22;90;86;2385;912580.6062728533
2020-05-23;0;260;18914;67114995.0
2020-05-23;9;6;1086;7763205.686272893
2020-05-23;19;29;1119;8336486.160537239
2020-05-23;29;30;2216;7476787.1878041085
2020-05-23;39;31;2445;8295371.931939545
2020-05-23;49;22;2278;8592886.15993014
2020-05-23;59;37;2461;8792674.76801071
2020-05-23;69;20;2322;8004082.760304243
2020-05-23;79;29;2134;5695639.130797295
2020-05-23;89;35;1905;3245280.6081309738
2020-05-23;90;21;945;912580.6062728533
2020-05-24;0;137;7058;67114995.0
2020-05-24;9;4;478;7763205.686272893
2020-05-24;19;22;419;8336486.160537239
2020-05-24;29;25;692;7476787.1878041085
2020-05-24;39;13;796;8295371.931939545
2020-05-24;49;13;702;8592886.15993014
2020-05-24;59;9;793;8792674.76801071
2020-05-24;69;13;850;8004082.760304243
2020-05-24;79;15;946;5695639.130797295
2020-05-24;89;15;935;3245280.6081309738
2020-05-24;90;8;443;912580.6062728533
2020-05-25;0;707;51188;67114995.0
2020-05-25;9;16;2398;7763205.686272893
2020-05-25;19;46;2975;8336486.160537239
2020-05-25;29;84;6136;7476787.1878041085
2020-05-25;39;89;6699;8295371.931939545
2020-05-25;49;98;6621;8592886.15993014
2020-05-25;59;74;7068;8792674.76801071
2020-05-25;69;73;6387;8004082.760304243
2020-05-25;79;54;5512;5695639.130797295
2020-05-25;89;104;4837;3245280.6081309738
2020-05-25;90;69;2541;912580.6062728533
2020-05-26;0;771;53646;67114995.0
2020-05-26;9;29;2481;7763205.686272893
2020-05-26;19;46;3300;8336486.160537239
2020-05-26;29;97;7030;7476787.1878041085
2020-05-26;39;86;7433;8295371.931939545
2020-05-26;49;108;7080;8592886.15993014
2020-05-26;59;97;7259;8792674.76801071
2020-05-26;69;64;6026;8004082.760304243
2020-05-26;79;51;5259;5695639.130797295
2020-05-26;89;93;4966;3245280.6081309738
2020-05-26;90;98;2778;912580.6062728533
2020-05-27;0;725;45997;67114995.0
2020-05-27;9;23;2292;7763205.686272893
2020-05-27;19;45;2872;8336486.160537239
2020-05-27;29;84;5828;7476787.1878041085
2020-05-27;39;79;6244;8295371.931939545
2020-05-27;49;109;6235;8592886.15993014
2020-05-27;59;87;6402;8792674.76801071
2020-05-27;69;71;5135;8004082.760304243
2020-05-27;79;61;4472;5695639.130797295
2020-05-27;89;81;4215;3245280.6081309738
2020-05-27;90;84;2255;912580.6062728533
2020-05-28;0;627;43814;67114995.0
2020-05-28;9;19;2226;7763205.686272893
2020-05-28;19;48;2765;8336486.160537239
2020-05-28;29;99;5612;7476787.1878041085
2020-05-28;39;87;6146;8295371.931939545
2020-05-28;49;90;5812;8592886.15993014
2020-05-28;59;66;6192;8792674.76801071
2020-05-28;69;53;4763;8004082.760304243
2020-05-28;79;39;4034;5695639.130797295
2020-05-28;89;66;3915;3245280.6081309738
2020-05-28;90;50;2312;912580.6062728533
2020-05-29;0;589;48842;67114995.0
2020-05-29;9;28;2582;7763205.686272893
2020-05-29;19;42;3031;8336486.160537239
2020-05-29;29;82;5939;7476787.1878041085
2020-05-29;39;65;6516;8295371.931939545
2020-05-29;49;66;6547;8592886.15993014
2020-05-29;59;79;6898;8792674.76801071
2020-05-29;69;52;5766;8004082.760304243
2020-05-29;79;48;5156;5695639.130797295
2020-05-29;89;59;4282;3245280.6081309738
2020-05-29;90;48;2069;912580.6062728533
2020-05-30;0;367;20110;67114995.0
2020-05-30;9;15;1324;7763205.686272893
2020-05-30;19;29;1320;8336486.160537239
2020-05-30;29;85;2349;7476787.1878041085
2020-05-30;39;58;2566;8295371.931939545
2020-05-30;49;51;2438;8592886.15993014
2020-05-30;59;34;2659;8792674.76801071
2020-05-30;69;26;2431;8004082.760304243
2020-05-30;79;22;2315;5695639.130797295
2020-05-30;89;26;1886;3245280.6081309738
2020-05-30;90;21;818;912580.6062728533
2020-05-31;0;185;8319;67114995.0
2020-05-31;9;6;590;7763205.686272893
2020-05-31;19;25;551;8336486.160537239
2020-05-31;29;51;858;7476787.1878041085
2020-05-31;39;34;852;8295371.931939545
2020-05-31;49;19;780;8592886.15993014
2020-05-31;59;14;933;8792674.76801071
2020-05-31;69;11;944;8004082.760304243
2020-05-31;79;11;948;5695639.130797295
2020-05-31;89;10;1283;3245280.6081309738
2020-05-31;90;4;579;912580.6062728533
2020-06-01;0;176;9975;67114995.0
2020-06-01;9;5;602;7763205.686272893
2020-06-01;19;13;533;8336486.160537239
2020-06-01;29;42;1153;7476787.1878041085
2020-06-01;39;21;1051;8295371.931939545
2020-06-01;49;20;963;8592886.15993014
2020-06-01;59;25;1121;8792674.76801071
2020-06-01;69;6;1223;8004082.760304243
2020-06-01;79;12;1306;5695639.130797295
2020-06-01;89;13;1389;3245280.6081309738
2020-06-01;90;15;630;912580.6062728533
2020-06-02;0;743;48782;67114995.0
2020-06-02;9;32;2236;7763205.686272893
2020-06-02;19;36;2995;8336486.160537239
2020-06-02;29;107;5758;7476787.1878041085
2020-06-02;39;77;6250;8295371.931939545
2020-06-02;49;109;6179;8592886.15993014
2020-06-02;59;86;6834;8792674.76801071
2020-06-02;69;73;6244;8004082.760304243
2020-06-02;79;61;5412;5695639.130797295
2020-06-02;89;82;4546;3245280.6081309738
2020-06-02;90;79;2305;912580.6062728533
2020-06-03;0;671;44129;67114995.0
2020-06-03;9;15;2152;7763205.686272893
2020-06-03;19;39;2831;8336486.160537239
2020-06-03;29;90;5655;7476787.1878041085
2020-06-03;39;104;5752;8295371.931939545
2020-06-03;49;82;5497;8592886.15993014
2020-06-03;59;72;5975;8792674.76801071
2020-06-03;69;56;5048;8004082.760304243
2020-06-03;79;56;4550;5695639.130797295
2020-06-03;89;87;4183;3245280.6081309738
2020-06-03;90;52;2409;912580.6062728533
2020-06-04;0;627;41362;67114995.0
2020-06-04;9;25;1987;7763205.686272893
2020-06-04;19;25;2599;8336486.160537239
2020-06-04;29;78;5203;7476787.1878041085
2020-06-04;39;111;5656;8295371.931939545
2020-06-04;49;88;5365;8592886.15993014
2020-06-04;59;90;5542;8792674.76801071
2020-06-04;69;55;4804;8004082.760304243
2020-06-04;79;30;4290;5695639.130797295
2020-06-04;89;62;3770;3245280.6081309738
2020-06-04;90;58;2112;912580.6062728533
2020-06-05;0;555;46435;67114995.0
2020-06-05;9;16;2225;7763205.686272893
2020-06-05;19;50;3057;8336486.160537239
2020-06-05;29;71;5561;7476787.1878041085
2020-06-05;39;85;6007;8295371.931939545
2020-06-05;49;71;5816;8592886.15993014
2020-06-05;59;67;6356;8792674.76801071
2020-06-05;69;59;5882;8004082.760304243
2020-06-05;79;44;5334;5695639.130797295
2020-06-05;89;56;4202;3245280.6081309738
2020-06-05;90;34;1973;912580.6062728533
2020-06-06;0;292;19503;67114995.0
2020-06-06;9;14;1030;7763205.686272893
2020-06-06;19;18;1385;8336486.160537239
2020-06-06;29;39;2121;7476787.1878041085
2020-06-06;39;50;2309;8295371.931939545
2020-06-06;49;44;2373;8592886.15993014
2020-06-06;59;34;2524;8792674.76801071
2020-06-06;69;29;2626;8004082.760304243
2020-06-06;79;25;2335;5695639.130797295
2020-06-06;89;23;1986;3245280.6081309738
2020-06-06;90;13;804;912580.6062728533
2020-06-07;0;130;7515;67114995.0
2020-06-07;9;8;465;7763205.686272893
2020-06-07;19;15;410;8336486.160537239
2020-06-07;29;9;673;7476787.1878041085
2020-06-07;39;14;716;8295371.931939545
2020-06-07;49;20;726;8592886.15993014
2020-06-07;59;16;867;8792674.76801071
2020-06-07;69;14;976;8004082.760304243
2020-06-07;79;7;1087;5695639.130797295
2020-06-07;89;15;1081;3245280.6081309738
2020-06-07;90;12;511;912580.6062728533
2020-06-08;0;559;45144;67114995.0
2020-06-08;9;25;2043;7763205.686272893
2020-06-08;19;37;2729;8336486.160537239
2020-06-08;29;84;5252;7476787.1878041085
2020-06-08;39;86;5726;8295371.931939545
2020-06-08;49;88;5675;8592886.15993014
2020-06-08;59;67;6133;8792674.76801071
2020-06-08;69;52;5913;8004082.760304243
2020-06-08;79;35;5418;5695639.130797295
2020-06-08;89;45;4213;3245280.6081309738
2020-06-08;90;40;2005;912580.6062728533
2020-06-09;0;576;43727;67114995.0
2020-06-09;9;32;2083;7763205.686272893
2020-06-09;19;45;2791;8336486.160537239
2020-06-09;29;84;5473;7476787.1878041085
2020-06-09;39;86;5629;8295371.931939545
2020-06-09;49;95;5614;8592886.15993014
2020-06-09;59;74;6031;8792674.76801071
2020-06-09;69;48;5506;8004082.760304243
2020-06-09;79;36;4831;5695639.130797295
2020-06-09;89;38;3910;3245280.6081309738
2020-06-09;90;38;1842;912580.6062728533
2020-06-10;0;563;40529;67114995.0
2020-06-10;9;23;1918;7763205.686272893
2020-06-10;19;41;2699;8336486.160537239
2020-06-10;29;90;5013;7476787.1878041085
2020-06-10;39;88;5333;8295371.931939545
2020-06-10;49;63;5163;8592886.15993014
2020-06-10;59;79;5504;8792674.76801071
2020-06-10;69;48;5082;8004082.760304243
2020-06-10;79;51;4401;5695639.130797295
2020-06-10;89;54;3599;3245280.6081309738
2020-06-10;90;26;1790;912580.6062728533
2020-06-11;0;616;38604;67114995.0
2020-06-11;9;49;1846;7763205.686272893
2020-06-11;19;49;2419;8336486.160537239
2020-06-11;29;94;4773;7476787.1878041085
