reg;jour;three_class;P;T;pop
;;;sum;sum;sum
Auvergne-Rhône-Alpes;2020-05-13;0-19;3;377;1940253.0
Auvergne-Rhône-Alpes;2020-05-13;20-59;24;2253;3980515.0
Auvergne-Rhône-Alpes;2020-05-13;60+;29;1414;2111609.0
Auvergne-Rhône-Alpes;2020-05-13;whole;57;4051;8032377.0
Auvergne-Rhône-Alpes;2020-05-14;0-19;11;490;1940253.0
Auvergne-Rhône-Alpes;2020-05-14;20-59;44;2717;3980515.0
Auvergne-Rhône-Alpes;2020-05-14;60+;48;1561;2111609.0
Auvergne-Rhône-Alpes;2020-05-14;whole;103;4808;8032377.0
Auvergne-Rhône-Alpes;2020-05-15;0-19;6;569;1940253.0
Auvergne-Rhône-Alpes;2020-05-15;20-59;40;2594;3980515.0
Auvergne-Rhône-Alpes;2020-05-15;60+;32;1651;2111609.0
Auvergne-Rhône-Alpes;2020-05-15;whole;78;4820;8032377.0
Auvergne-Rhône-Alpes;2020-05-16;0-19;4;235;1940253.0
Auvergne-Rhône-Alpes;2020-05-16;20-59;12;1060;3980515.0
Auvergne-Rhône-Alpes;2020-05-16;60+;9;706;2111609.0
Auvergne-Rhône-Alpes;2020-05-16;whole;25;2001;8032377.0
Auvergne-Rhône-Alpes;2020-05-17;0-19;1;63;1940253.0
Auvergne-Rhône-Alpes;2020-05-17;20-59;7;214;3980515.0
Auvergne-Rhône-Alpes;2020-05-17;60+;5;360;2111609.0
Auvergne-Rhône-Alpes;2020-05-17;whole;13;637;8032377.0
Auvergne-Rhône-Alpes;2020-05-18;0-19;4;575;1940253.0
Auvergne-Rhône-Alpes;2020-05-18;20-59;30;2956;3980515.0
Auvergne-Rhône-Alpes;2020-05-18;60+;39;1886;2111609.0
Auvergne-Rhône-Alpes;2020-05-18;whole;73;5419;8032377.0
Auvergne-Rhône-Alpes;2020-05-19;0-19;6;664;1940253.0
Auvergne-Rhône-Alpes;2020-05-19;20-59;33;3096;3980515.0
Auvergne-Rhône-Alpes;2020-05-19;60+;33;1870;2111609.0
Auvergne-Rhône-Alpes;2020-05-19;whole;72;5630;8032377.0
Auvergne-Rhône-Alpes;2020-05-20;0-19;5;721;1940253.0
Auvergne-Rhône-Alpes;2020-05-20;20-59;37;2760;3980515.0
Auvergne-Rhône-Alpes;2020-05-20;60+;18;1686;2111609.0
Auvergne-Rhône-Alpes;2020-05-20;whole;60;5167;8032377.0
Auvergne-Rhône-Alpes;2020-05-21;0-19;1;94;1940253.0
Auvergne-Rhône-Alpes;2020-05-21;20-59;5;305;3980515.0
Auvergne-Rhône-Alpes;2020-05-21;60+;9;331;2111609.0
Auvergne-Rhône-Alpes;2020-05-21;whole;15;730;8032377.0
Auvergne-Rhône-Alpes;2020-05-22;0-19;8;618;1940253.0
Auvergne-Rhône-Alpes;2020-05-22;20-59;36;2564;3980515.0
Auvergne-Rhône-Alpes;2020-05-22;60+;30;1737;2111609.0
Auvergne-Rhône-Alpes;2020-05-22;whole;74;4922;8032377.0
Auvergne-Rhône-Alpes;2020-05-23;0-19;5;294;1940253.0
Auvergne-Rhône-Alpes;2020-05-23;20-59;12;1030;3980515.0
Auvergne-Rhône-Alpes;2020-05-23;60+;5;850;2111609.0
Auvergne-Rhône-Alpes;2020-05-23;whole;22;2175;8032377.0
Auvergne-Rhône-Alpes;2020-05-24;0-19;0;82;1940253.0
Auvergne-Rhône-Alpes;2020-05-24;20-59;1;259;3980515.0
Auvergne-Rhône-Alpes;2020-05-24;60+;1;366;2111609.0
Auvergne-Rhône-Alpes;2020-05-24;whole;2;707;8032377.0
Auvergne-Rhône-Alpes;2020-05-25;0-19;2;670;1940253.0
Auvergne-Rhône-Alpes;2020-05-25;20-59;22;2568;3980515.0
Auvergne-Rhône-Alpes;2020-05-25;60+;20;2072;2111609.0
Auvergne-Rhône-Alpes;2020-05-25;whole;44;5311;8032377.0
Auvergne-Rhône-Alpes;2020-05-26;0-19;1;693;1940253.0
Auvergne-Rhône-Alpes;2020-05-26;20-59;22;2685;3980515.0
Auvergne-Rhône-Alpes;2020-05-26;60+;19;2027;2111609.0
Auvergne-Rhône-Alpes;2020-05-26;whole;42;5406;8032377.0
Auvergne-Rhône-Alpes;2020-05-27;0-19;1;662;1940253.0
Auvergne-Rhône-Alpes;2020-05-27;20-59;26;2192;3980515.0
Auvergne-Rhône-Alpes;2020-05-27;60+;19;1536;2111609.0
Auvergne-Rhône-Alpes;2020-05-27;whole;47;4392;8032377.0
Auvergne-Rhône-Alpes;2020-05-28;0-19;5;540;1940253.0
Auvergne-Rhône-Alpes;2020-05-28;20-59;22;2188;3980515.0
Auvergne-Rhône-Alpes;2020-05-28;60+;16;1520;2111609.0
