jour;three_class;P;T;pop
;;sum;sum;sum
2020-05-13;0-19;41;2951;16099691.846810132
2020-05-13;20-59;427;22041;33157720.0476845
2020-05-13;60+;413;14056;17857583.105505366
2020-05-13;whole;889;39317;67114995.0
2020-05-14;0-19;60;3405;16099691.846810132
2020-05-14;20-59;476;23731;33157720.0476845
2020-05-14;60+;443;14850;17857583.105505366
2020-05-14;whole;999;42664;67114995.0
2020-05-15;0-19;57;4431;16099691.846810132
2020-05-15;20-59;501;26268;33157720.0476845
2020-05-15;60+;463;16987;17857583.105505366
2020-05-15;whole;1028;47918;67114995.0
2020-05-16;0-19;23;1703;16099691.846810132
2020-05-16;20-59;133;8768;33157720.0476845
2020-05-16;60+;135;6064;17857583.105505366
2020-05-16;whole;291;16540;67114995.0
2020-05-17;0-19;10;705;16099691.846810132
2020-05-17;20-59;58;2822;33157720.0476845
2020-05-17;60+;71;3077;17857583.105505366
2020-05-17;whole;139;6605;67114995.0
2020-05-18;0-19;85;4711;16099691.846810132
2020-05-18;20-59;466;28004;33157720.0476845
2020-05-18;60+;565;18670;17857583.105505366
2020-05-18;whole;1117;51412;67114995.0
2020-05-19;0-19;63;5016;16099691.846810132
2020-05-19;20-59;499;29850;33157720.0476845
2020-05-19;60+;486;18150;17857583.105505366
2020-05-19;whole;1050;53039;67114995.0
2020-05-20;0-19;86;5501;16099691.846810132
2020-05-20;20-59;549;29476;33157720.0476845
2020-05-20;60+;411;18055;17857583.105505366
2020-05-20;whole;1047;53060;67114995.0
2020-05-21;0-19;20;1129;16099691.846810132
2020-05-21;20-59;78;4330;33157720.0476845
2020-05-21;60+;97;4213;17857583.105505366
2020-05-21;whole;195;9672;67114995.0
2020-05-22;0-19;63;5229;16099691.846810132
2020-05-22;20-59;391;26467;33157720.0476845
2020-05-22;60+;337;18531;17857583.105505366
2020-05-22;whole;793;50243;67114995.0
2020-05-23;0-19;35;2205;16099691.846810132
2020-05-23;20-59;120;9400;33157720.0476845
2020-05-23;60+;105;7306;17857583.105505366
2020-05-23;whole;260;18914;67114995.0
2020-05-24;0-19;26;897;16099691.846810132
2020-05-24;20-59;60;2983;33157720.0476845
2020-05-24;60+;51;3174;17857583.105505366
2020-05-24;whole;137;7058;67114995.0
2020-05-25;0-19;62;5373;16099691.846810132
2020-05-25;20-59;345;26524;33157720.0476845
2020-05-25;60+;300;19277;17857583.105505366
2020-05-25;whole;707;51188;67114995.0
2020-05-26;0-19;75;5781;16099691.846810132
2020-05-26;20-59;388;28802;33157720.0476845
2020-05-26;60+;306;19029;17857583.105505366
2020-05-26;whole;771;53646;67114995.0
2020-05-27;0-19;68;5164;16099691.846810132
2020-05-27;20-59;359;24709;33157720.0476845
2020-05-27;60+;297;16077;17857583.105505366
2020-05-27;whole;725;45997;67114995.0
2020-05-28;0-19;67;4991;16099691.846810132
2020-05-28;20-59;342;23762;33157720.0476845
2020-05-28;60+;208;15024;17857583.105505366
2020-05-28;whole;627;43814;67114995.0
2020-05-29;0-19;70;5613;16099691.846810132
2020-05-29;20-59;292;25900;33157720.0476845
2020-05-29;60+;207;17273;17857583.105505366
2020-05-29;whole;589;48842;67114995.0
2020-05-30;0-19;44;2644;16099691.846810132
2020-05-30;20-59;228;10012;33157720.0476845
2020-05-30;60+;95;7450;17857583.105505366
2020-05-30;whole;367;20110;67114995.0
2020-05-31;0-19;31;1141;16099691.846810132
2020-05-31;20-59;118;3423;33157720.0476845
2020-05-31;60+;36;3754;17857583.105505366
2020-05-31;whole;185;8319;67114995.0
2020-06-01;0-19;18;1135;16099691.846810132
2020-06-01;20-59;108;4288;33157720.0476845
2020-06-01;60+;46;4548;17857583.105505366
2020-06-01;whole;176;9975;67114995.0
2020-06-02;0-19;68;5231;16099691.846810132
2020-06-02;20-59;379;25021;33157720.0476845
2020-06-02;60+;295;18507;17857583.105505366
2020-06-02;whole;743;48782;67114995.0
2020-06-03;0-19;54;4983;16099691.846810132
2020-06-03;20-59;348;22879;33157720.0476845
2020-06-03;60+;251;16190;17857583.105505366
2020-06-03;whole;671;44129;67114995.0
2020-06-04;0-19;50;4586;16099691.846810132
2020-06-04;20-59;367;21766;33157720.0476845
2020-06-04;60+;205;14976;17857583.105505366
2020-06-04;whole;627;41362;67114995.0
2020-06-05;0-19;66;5282;16099691.846810132
2020-06-05;20-59;294;23740;33157720.0476845
2020-06-05;60+;193;17391;17857583.105505366
2020-06-05;whole;555;46435;67114995.0
