entity;three_class;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2;taux dose 1;taux dose 2
01;0-29;2020-12-27;0;0;0;0;0.0;0.0
01;30-59;2020-12-27;0;0;0;0;0.0;0.0
01;60+;2020-12-27;0;0;0;0;0.0;0.0
01;whole;2020-12-27;0;0;0;0;0.0;0.0
01;0-29;2020-12-28;0;0;0;0;0.0;0.0
01;30-59;2020-12-28;0;0;0;0;0.0;0.0
01;60+;2020-12-28;0;0;0;0;0.0;0.0
01;whole;2020-12-28;0;0;0;0;0.0;0.0
01;0-29;2020-12-29;0;0;0;0;0.0;0.0
01;30-59;2020-12-29;0;0;0;0;0.0;0.0
01;60+;2020-12-29;0;0;0;0;0.0;0.0
01;whole;2020-12-29;0;0;0;0;0.0;0.0
01;0-29;2020-12-30;0;0;0;0;0.0;0.0
01;30-59;2020-12-30;0;0;0;0;0.0;0.0
01;60+;2020-12-30;0;0;0;0;0.0;0.0
01;whole;2020-12-30;0;0;0;0;0.0;0.0
01;0-29;2020-12-31;0;0;0;0;0.0;0.0
01;30-59;2020-12-31;0;0;0;0;0.0;0.0
01;60+;2020-12-31;0;0;0;0;0.0;0.0
01;whole;2020-12-31;0;0;0;0;0.0;0.0
01;0-29;2021-01-01;0;0;0;0;0.0;0.0
01;30-59;2021-01-01;0;0;0;0;0.0;0.0
01;60+;2021-01-01;0;0;0;0;0.0;0.0
01;whole;2021-01-01;0;0;0;0;0.0;0.0
01;0-29;2021-01-02;0;0;0;0;0.0;0.0
01;30-59;2021-01-02;0;0;0;0;0.0;0.0
01;60+;2021-01-02;0;0;0;0;0.0;0.0
01;whole;2021-01-02;0;0;0;0;0.0;0.0
01;0-29;2021-01-03;0;0;0;0;0.0;0.0
01;30-59;2021-01-03;0;0;0;0;0.0;0.0
01;60+;2021-01-03;0;0;0;0;0.0;0.0
01;whole;2021-01-03;0;0;0;0;0.0;0.0
01;0-29;2021-01-04;0;0;0;0;0.0;0.0
01;30-59;2021-01-04;0;0;0;0;0.0;0.0
01;60+;2021-01-04;0;0;0;0;0.0;0.0
01;whole;2021-01-04;0;0;0;0;0.0;0.0
01;0-29;2021-01-05;0;0;0;0;0.0;0.0
01;30-59;2021-01-05;0;0;0;0;0.0;0.0
01;60+;2021-01-05;0;0;0;0;0.0;0.0
01;whole;2021-01-05;0;0;0;0;0.0;0.0
01;0-29;2021-01-06;0;0;0;0;0.0;0.0
01;30-59;2021-01-06;1;0;1;0;0.3772773403456615;0.0
01;60+;2021-01-06;0;0;0;0;0.0;0.0
01;whole;2021-01-06;1;0;1;0;0.15221742737325997;0.0
01;0-29;2021-01-07;0;0;0;0;0.0;0.0
01;30-59;2021-01-07;18;0;19;0;7.168269466567569;0.0
01;60+;2021-01-07;48;0;48;0;30.23888720895071;0.0
01;whole;2021-01-07;66;0;67;0;10.198567634008418;0.0
01;0-29;2021-01-08;0;0;0;0;0.0;0.0
01;30-59;2021-01-08;34;0;53;0;19.995699038320062;0.0
01;60+;2021-01-08;125;0;173;0;108.98598931559319;0.0
01;whole;2021-01-08;159;0;226;0;34.40113858635675;0.0
01;0-29;2021-01-09;0;0;0;0;0.0;0.0
01;30-59;2021-01-09;0;0;53;0;19.995699038320062;0.0
01;60+;2021-01-09;2;0;175;0;110.24594294929946;0.0
01;whole;2021-01-09;2;0;228;0;34.705573441103276;0.0
01;0-29;2021-01-10;0;0;0;0;0.0;0.0
01;30-59;2021-01-10;0;0;53;0;19.995699038320062;0.0
01;60+;2021-01-10;0;0;175;0;110.24594294929946;0.0
01;whole;2021-01-10;0;0;228;0;34.705573441103276;0.0
01;0-29;2021-01-11;2;0;2;0;0.8577727073879964;0.0
01;30-59;2021-01-11;75;0;128;0;48.291499564244674;0.0
01;60+;2021-01-11;63;0;238;0;149.93448241104727;0.0
01;whole;2021-01-11;140;0;368;0;56.01601327335967;0.0
01;0-29;2021-01-12;5;0;7;0;3.002204475857987;0.0
01;30-59;2021-01-12;171;0;299;0;112.80592476335279;0.0
01;60+;2021-01-12;133;0;371;0;233.72139905251487;0.0
01;whole;2021-01-12;309;0;677;0;103.051198331697;0.0
01;0-29;2021-01-13;3;0;10;0;4.2888635369399815;0.0
01;30-59;2021-01-13;201;0;500;0;188.63867017283076;0.0
01;60+;2021-01-13;239;0;610;0;384.28585828041525;0.0
01;whole;2021-01-13;443;0;1120;0;170.48351865805117;0.0
01;0-29;2021-01-14;6;0;16;0;6.862181659103971;0.0
01;30-59;2021-01-14;248;0;748;0;282.2034505785548;0.0
01;60+;2021-01-14;258;0;868;0;546.8198770285254;0.0
01;whole;2021-01-14;512;0;1632;0;248.41884147316028;0.0
01;0-29;2021-01-15;4;0;20;0;8.577727073879963;0.0
01;30-59;2021-01-15;194;0;942;0;355.3952546056131;0.0
01;60+;2021-01-15;197;0;1065;0;670.9253099485938;0.0
01;whole;2021-01-15;395;0;2027;0;308.54472528559796;0.0
01;0-29;2021-01-16;6;0;26;0;11.151045196043953;0.0
01;30-59;2021-01-16;52;2;994;2;375.01367630358754;0.754554680691323
01;60+;2021-01-16;143;0;1208;0;761.0119947585929;0.0
01;whole;2021-01-16;201;2;2228;2;339.14042818762323;0.30443485474651993
01;0-29;2021-01-17;1;0;27;0;11.57993154973795;0.0
01;30-59;2021-01-17;73;0;1067;2;402.55492214882076;0.754554680691323
01;60+;2021-01-17;52;0;1260;0;793.770789234956;0.0
01;whole;2021-01-17;126;0;2354;2;358.319824036654;0.30443485474651993
01;0-29;2021-01-18;1;0;28;0;12.008817903431948;0.0
01;30-59;2021-01-18;72;0;1139;2;429.71889065370846;0.754554680691323
01;60+;2021-01-18;286;0;1546;0;973.9441588549543;0.0
01;whole;2021-01-18;359;0;2713;2;412.9658804636543;0.30443485474651993
01;0-29;2021-01-19;3;0;31;0;13.295476964513943;0.0
01;30-59;2021-01-19;186;0;1325;2;499.8924759580015;0.754554680691323
01;60+;2021-01-19;847;0;2393;0;1507.5345227295636;0.0
01;whole;2021-01-19;1037;0;3750;2;570.8153526497248;0.30443485474651993
01;0-29;2021-01-20;13;0;44;0;18.870999562535918;0.0
01;30-59;2021-01-20;279;0;1604;2;605.152853914441;0.754554680691323
01;60+;2021-01-20;948;0;3341;0;2104.7525451063398;0.0
01;whole;2021-01-20;1240;0;4990;2;759.5649625925672;0.30443485474651993
01;0-29;2021-01-21;6;0;50;0;21.444317684699907;0.0
01;30-59;2021-01-21;156;0;1760;2;664.0081190083642;0.754554680691323
01;60+;2021-01-21;925;0;4266;0;2687.4811006954947;0.0
01;whole;2021-01-21;1087;0;6077;2;925.0253061473007;0.30443485474651993
01;0-29;2021-01-22;11;0;61;0;26.162067575333886;0.0
01;30-59;2021-01-22;135;0;1895;2;714.9405599550286;0.754554680691323
01;60+;2021-01-22;498;0;4764;0;3001.209555488358;0.0
01;whole;2021-01-22;644;0;6721;2;1023.0533293756802;0.30443485474651993
01;0-29;2021-01-23;1;0;62;0;26.590953929027886;0.0
01;30-59;2021-01-23;11;0;1906;2;719.0906106988308;0.754554680691323
01;60+;2021-01-23;209;0;4973;0;3132.874710210664;0.0
01;whole;2021-01-23;221;0;6942;2;1056.6933808251708;0.30443485474651993
01;0-29;2021-01-24;0;0;62;0;26.590953929027886;0.0
01;30-59;2021-01-24;9;0;1915;2;722.4861067619418;0.754554680691323
01;60+;2021-01-24;59;0;5032;0;3170.0433424049997;0.0
01;whole;2021-01-24;68;0;7010;2;1067.0441658865525;0.30443485474651993
01;0-29;2021-01-25;0;0;62;0;26.590953929027886;0.0
01;30-59;2021-01-25;43;0;1958;2;738.7090323968051;0.754554680691323
01;60+;2021-01-25;427;1;5459;1;3439.0434432012903;0.6299768168531398
01;whole;2021-01-25;470;1;7480;3;1138.5863567519846;0.45665228211977993
01;0-29;2021-01-26;9;0;71;0;30.45093111227387;0.0
01;30-59;2021-01-26;82;0;2040;2;769.6457743051495;0.754554680691323
01;60+;2021-01-26;644;0;6103;1;3844.748513254712;0.6299768168531398
01;whole;2021-01-26;735;0;8215;3;1250.4661658713305;0.45665228211977993
01;0-29;2021-01-27;9;0;80;0;34.31090829551985;0.0
01;30-59;2021-01-27;81;0;2121;2;800.205238873148;0.754554680691323
01;60+;2021-01-27;426;0;6529;1;4113.11863723415;0.6299768168531398
01;whole;2021-01-27;517;0;8732;3;1329.162575823306;0.45665228211977993
01;0-29;2021-01-28;2;0;82;0;35.16868100290785;0.0
01;30-59;2021-01-28;82;19;2203;21;831.1419807814923;7.9228241472588925
01;60+;2021-01-28;583;81;7112;82;4480.39512145953;51.65809898195746
01;whole;2021-01-28;667;100;9399;103;1430.6915998812703;15.678395019445778
01;0-29;2021-01-29;7;0;89;0;38.17088547876584;0.0
01;30-59;2021-01-29;65;30;2268;51;855.6650079039601;19.241144357628734
01;60+;2021-01-29;562;35;7674;117;4834.442092530994;73.70728757181736
01;whole;2021-01-29;634;65;10033;168;1527.1974488359172;25.572527798707675
